,Wavelength[nm],Average
,320.469,-8
,323.166,39
,325.861,6
,328.553,15
,331.243,22
,333.93,18
,336.615,12
,339.297,11
,341.976,18
,344.653,26
,347.327,33
,349.998,30
,352.666,23
,355.331,33
,357.994,16
,360.653,21
,363.309,39
,365.962,5
,368.612,27
,371.259,59
,373.903,54
,376.543,38
,379.18,68
,381.813,159
,384.443,393
,387.07,1120
,389.693,3275
,392.313,8416
,394.929,16227
,397.541,24500
,400.15,31387
,402.755,35354
,405.356,36749
,407.954,36665
,410.547,34839
,413.137,30778
,415.723,26571
,418.305,22794
,420.883,18206
,423.457,14031
,426.027,10421
,428.593,8024
,431.154,6061
,433.712,4847
,436.265,3874
,438.814,3247
,441.359,2736
,443.9,2470
,446.436,2175
,448.967,2058
,451.495,1948
,454.018,1947
,456.536,1882
,459.05,1816
,461.559,1867
,464.064,1797
,466.564,1842
,469.06,1853
,471.551,1848
,474.037,1932
,476.518,1921
,478.995,1929
,481.467,1881
,483.934,1890
,486.396,1991
,488.853,2027
,491.305,1987
,493.753,1998
,496.195,1960
,498.632,1890
,501.065,1952
,503.492,1854
,505.914,1818
,508.332,1796
,510.743,1801
,513.15,1762
,515.552,1789
,517.948,1773
,520.339,1703
,522.725,1611
,525.106,1548
,527.481,1567
,529.851,1542
,532.216,1556
,534.575,1508
,536.929,1518
,539.277,1442
,541.62,1446
,543.957,1471
,546.289,1366
,548.616,1335
,550.936,1350
,553.252,1263
,555.561,1239
,557.865,1247
,560.164,1120
,562.457,1092
,564.744,1069
,567.025,1084
,569.301,1067
,571.571,1024
,573.835,905
,576.093,884
,578.346,900
,580.593,880
,582.834,867
,585.069,789
,587.299,823
,589.522,759
,591.74,672
,593.952,699
,596.158,647
,598.358,619
,600.551,620
,602.739,584
,604.922,540
,607.098,558
,609.268,529
,611.432,479
,613.59,465
,615.742,449
,617.887,501
,620.027,422
,622.161,442
,624.289,400
,626.41,409
,628.526,375
,630.635,365
,632.738,314
,634.835,315
,636.926,279
,639.011,322
,641.089,284
,643.162,300
,645.228,305
,647.288,284
,649.341,272
,651.389,238
,653.43,250
,655.465,213
,657.494,208
,659.516,186
,661.532,216
,663.542,166
,665.546,168
,667.543,171
,669.535,152
,671.519,164
,673.498,157
,675.47,156
,677.436,124
,679.396,155
,681.349,130
,683.296,175
,685.236,181
,687.171,162
,689.099,137
,691.02,163
,692.935,114
,694.844,81
,696.747,106
,698.643,93
,700.533,91
,702.416,74
,704.293,86
,706.164,28
,708.029,110
,709.887,50
,711.738,31
,713.584,43
,715.423,27
,717.255,80
,719.082,62
,720.901,70
,722.715,57
,724.522,25
,726.323,20
,728.117,51
,729.905,39
,731.687,19
,733.462,12
,735.232,-3
,736.994,44
,738.751,33
,740.501,36
,742.244,61
,743.982,48
,745.713,-5
,747.437,40
,749.156,27
,750.868,21
,752.573,13
,754.273,23
,755.966,31
,757.653,-33
,759.333,11
,761.008,33
,762.676,-47
,764.337,5
,765.993,-5
,767.642,30
,769.285,4
,770.922,10
,772.552,-29
,774.176,26
,775.795,33
,777.406,-14
,779.012,39
,780.611,0
,782.205,3
,783.792,10
,785.373,4
,786.947,-16
,788.516,-18
,790.078,-3
,791.635,-10
,793.185,-12
,794.729,9
,796.267,-1
,797.799,-13
,799.325,-5
,800.844,7
,802.358,0
,803.866,-3
,805.368,4
,806.863,-6
,808.353,20
,809.836,3
,811.314,31
,812.786,-5
,814.252,-2
,815.711,17
,817.165,8
,818.613,-17
,820.055,-26
,821.491,7
,822.922,-22
,824.346,-27
,825.765,28
,827.178,-10
,828.585,22
,829.986,11
,831.381,-9
,832.771,-9
,834.155,-4
,835.533,-29
,836.906,-15
,838.272,5
,839.633,-13
,840.989,10
,842.339,-20
,843.683,19
,845.021,2
,846.354,-17
,847.682,0
,849.004,-5
,850.32,-2
,851.631,-26
,852.936,12
,854.236,-18
,855.53,-36
,856.819,-28
,858.102,11
,859.38,-14
,860.653,-7
,861.92,2
,863.182,8
,864.439,36
,865.69,26
,866.936,-21
,868.177,-35
,869.412,-4
,870.642,-2
,871.867,-11
,873.087,42
,874.302,-27
,875.512,-24
,876.716,-11
,877.916,1
,879.11,2
,880.299,-45
,881.483,-36
,882.663,29
,883.837,7
,885.006,35
,886.17,-8
,887.33,-10
,888.484,5
