,Wavelength[nm],Average
,320.469,-6
,323.166,45
,325.861,48
,328.553,39
,331.243,63
,333.93,15
,336.615,17
,339.297,28
,341.976,54
,344.653,-9
,347.327,41
,349.998,51
,352.666,59
,355.331,-1
,357.994,37
,360.653,39
,363.309,32
,365.962,57
,368.612,57
,371.259,61
,373.903,81
,376.543,50
,379.18,115
,381.813,166
,384.443,376
,387.07,1037
,389.693,3010
,392.313,7779
,394.929,15202
,397.541,22939
,400.15,29640
,402.755,33972
,405.356,35605
,407.954,35776
,410.547,34050
,413.137,30488
,415.723,26691
,418.305,23139
,420.883,19146
,423.457,14903
,426.027,11373
,428.593,8890
,431.154,7015
,433.712,5860
,436.265,4897
,438.814,4271
,441.359,3789
,443.9,3452
,446.436,3266
,448.967,3075
,451.495,3029
,454.018,3020
,456.536,2974
,459.05,2863
,461.559,2943
,464.064,2961
,466.564,3011
,469.06,3119
,471.551,3141
,474.037,3174
,476.518,3178
,478.995,3238
,481.467,3188
,483.934,3324
,486.396,3369
,488.853,3431
,491.305,3535
,493.753,3538
,496.195,3520
,498.632,3574
,501.065,3596
,503.492,3634
,505.914,3599
,508.332,3782
,510.743,3706
,513.15,3752
,515.552,3851
,517.948,3765
,520.339,3709
,522.725,3552
,525.106,3498
,527.481,3483
,529.851,3452
,532.216,3511
,534.575,3528
,536.929,3540
,539.277,3529
,541.62,3452
,543.957,3400
,546.289,3246
,548.616,3227
,550.936,3187
,553.252,3109
,555.561,3081
,557.865,2902
,560.164,2795
,562.457,2657
,564.744,2484
,567.025,2488
,569.301,2410
,571.571,2327
,573.835,2189
,576.093,2088
,578.346,1976
,580.593,1936
,582.834,1926
,585.069,1808
,587.299,1764
,589.522,1625
,591.74,1621
,593.952,1479
,596.158,1399
,598.358,1344
,600.551,1291
,602.739,1264
,604.922,1229
,607.098,1199
,609.268,1120
,611.432,1017
,613.59,1019
,615.742,986
,617.887,945
,620.027,928
,622.161,929
,624.289,879
,626.41,815
,628.526,826
,630.635,760
,632.738,748
,634.835,713
,636.926,673
,639.011,637
,641.089,653
,643.162,618
,645.228,569
,647.288,561
,649.341,505
,651.389,450
,653.43,446
,655.465,446
,657.494,429
,659.516,400
,661.532,393
,663.542,384
,665.546,405
,667.543,362
,669.535,359
,671.519,347
,673.498,341
,675.47,295
,677.436,294
,679.396,305
,681.349,335
,683.296,332
,685.236,304
,687.171,270
,689.099,276
,691.02,228
,692.935,247
,694.844,222
,696.747,199
,698.643,218
,700.533,181
,702.416,143
,704.293,143
,706.164,183
,708.029,147
,709.887,161
,711.738,149
,713.584,129
,715.423,132
,717.255,108
,719.082,92
,720.901,148
,722.715,100
,724.522,97
,726.323,88
,728.117,57
,729.905,69
,731.687,84
,733.462,90
,735.232,84
,736.994,60
,738.751,76
,740.501,47
,742.244,86
,743.982,55
,745.713,37
,747.437,66
,749.156,80
,750.868,69
,752.573,32
,754.273,48
,755.966,31
,757.653,60
,759.333,7
,761.008,41
,762.676,20
,764.337,19
,765.993,41
,767.642,38
,769.285,41
,770.922,49
,772.552,37
,774.176,11
,775.795,28
,777.406,31
,779.012,32
,780.611,7
,782.205,12
,783.792,20
,785.373,50
,786.947,12
,788.516,31
,790.078,-7
,791.635,18
,793.185,18
,794.729,35
,796.267,-1
,797.799,34
,799.325,-9
,800.844,13
,802.358,9
,803.866,-13
,805.368,21
,806.863,3
,808.353,30
,809.836,-6
,811.314,14
,812.786,-4
,814.252,12
,815.711,38
,817.165,14
,818.613,13
,820.055,-2
,821.491,16
,822.922,28
,824.346,41
,825.765,64
,827.178,-10
,828.585,15
,829.986,27
,831.381,-24
,832.771,8
,834.155,43
,835.533,22
,836.906,-12
,838.272,-12
,839.633,5
,840.989,31
,842.339,23
,843.683,31
,845.021,8
,846.354,-10
,847.682,16
,849.004,-27
,850.32,7
,851.631,-7
,852.936,47
,854.236,-11
,855.53,-14
,856.819,1
,858.102,59
,859.38,12
,860.653,-14
,861.92,25
,863.182,19
,864.439,18
,865.69,2
,866.936,-10
,868.177,-7
,869.412,8
,870.642,9
,871.867,18
,873.087,-2
,874.302,14
,875.512,-13
,876.716,-2
,877.916,-1
,879.11,21
,880.299,24
,881.483,14
,882.663,19
,883.837,1
,885.006,15
,886.17,-3
,887.33,3
,888.484,26
