,Wavelength[nm],Average
,320.469,6
,323.166,77
,325.861,32
,328.553,29
,331.243,2
,333.93,56
,336.615,18
,339.297,17
,341.976,45
,344.653,32
,347.327,-13
,349.998,19
,352.666,25
,355.331,47
,357.994,20
,360.653,20
,363.309,55
,365.962,31
,368.612,53
,371.259,35
,373.903,33
,376.543,42
,379.18,96
,381.813,164
,384.443,296
,387.07,871
,389.693,2633
,392.313,6915
,394.929,13706
,397.541,20747
,400.15,26791
,402.755,31009
,405.356,32721
,407.954,32844
,410.547,31516
,413.137,28136
,415.723,24778
,418.305,21190
,420.883,17860
,423.457,13869
,426.027,10705
,428.593,8298
,431.154,6646
,433.712,5456
,436.265,4632
,438.814,3980
,441.359,3611
,443.9,3291
,446.436,3066
,448.967,2960
,451.495,2851
,454.018,2865
,456.536,2819
,459.05,2777
,461.559,2788
,464.064,2796
,466.564,2907
,469.06,2900
,471.551,2943
,474.037,3021
,476.518,3034
,478.995,3053
,481.467,3075
,483.934,3106
,486.396,3224
,488.853,3305
,491.305,3427
,493.753,3394
,496.195,3407
,498.632,3461
,501.065,3510
,503.492,3535
,505.914,3573
,508.332,3648
,510.743,3624
,513.15,3695
,515.552,3730
,517.948,3695
,520.339,3634
,522.725,3501
,525.106,3449
,527.481,3413
,529.851,3381
,532.216,3362
,534.575,3464
,536.929,3390
,539.277,3415
,541.62,3368
,543.957,3334
,546.289,3247
,548.616,3035
,550.936,3088
,553.252,3010
,555.561,3029
,557.865,2757
,560.164,2691
,562.457,2566
,564.744,2459
,567.025,2440
,569.301,2327
,571.571,2249
,573.835,2112
,576.093,1969
,578.346,1951
,580.593,1912
,582.834,1799
,585.069,1726
,587.299,1701
,589.522,1567
,591.74,1465
,593.952,1385
,596.158,1360
,598.358,1279
,600.551,1219
,602.739,1211
,604.922,1154
,607.098,1136
,609.268,1037
,611.432,981
,613.59,960
,615.742,939
,617.887,908
,620.027,880
,622.161,862
,624.289,798
,626.41,779
,628.526,759
,630.635,719
,632.738,692
,634.835,646
,636.926,588
,639.011,579
,641.089,571
,643.162,582
,645.228,519
,647.288,543
,649.341,488
,651.389,468
,653.43,443
,655.465,409
,657.494,389
,659.516,375
,661.532,359
,663.542,329
,665.546,338
,667.543,280
,669.535,332
,671.519,297
,673.498,326
,675.47,297
,677.436,289
,679.396,246
,681.349,286
,683.296,271
,685.236,252
,687.171,253
,689.099,246
,691.02,226
,692.935,206
,694.844,207
,696.747,189
,698.643,188
,700.533,148
,702.416,158
,704.293,130
,706.164,139
,708.029,116
,709.887,153
,711.738,123
,713.584,116
,715.423,120
,717.255,133
,719.082,101
,720.901,94
,722.715,92
,724.522,90
,726.323,70
,728.117,100
,729.905,40
,731.687,66
,733.462,68
,735.232,61
,736.994,69
,738.751,69
,740.501,54
,742.244,68
,743.982,79
,745.713,42
,747.437,58
,749.156,33
,750.868,21
,752.573,47
,754.273,42
,755.966,47
,757.653,41
,759.333,38
,761.008,7
,762.676,28
,764.337,-32
,765.993,-26
,767.642,2
,769.285,3
,770.922,22
,772.552,32
,774.176,5
,775.795,53
,777.406,-1
,779.012,7
,780.611,7
,782.205,2
,783.792,16
,785.373,-4
,786.947,-15
,788.516,-27
,790.078,-9
,791.635,-19
,793.185,-6
,794.729,-12
,796.267,-11
,797.799,-19
,799.325,13
,800.844,-14
,802.358,1
,803.866,8
,805.368,25
,806.863,14
,808.353,14
,809.836,-4
,811.314,-11
,812.786,0
,814.252,28
,815.711,18
,817.165,0
,818.613,17
,820.055,2
,821.491,-22
,822.922,-22
,824.346,-5
,825.765,3
,827.178,3
,828.585,-1
,829.986,12
,831.381,-20
,832.771,-9
,834.155,14
,835.533,-1
,836.906,-17
,838.272,-22
,839.633,-16
,840.989,-11
,842.339,-33
,843.683,12
,845.021,16
,846.354,3
,847.682,-19
,849.004,4
,850.32,4
,851.631,13
,852.936,3
,854.236,-12
,855.53,-20
,856.819,-26
,858.102,-6
,859.38,-53
,860.653,-23
,861.92,25
,863.182,-11
,864.439,-6
,865.69,5
,866.936,-5
,868.177,20
,869.412,-9
,870.642,-4
,871.867,-7
,873.087,-9
,874.302,-5
,875.512,-24
,876.716,-32
,877.916,20
,879.11,3
,880.299,9
,881.483,28
,882.663,21
,883.837,-25
,885.006,-2
,886.17,-28
,887.33,-11
,888.484,-12
