,Wavelength[nm],Average
,320.469,0.695652
,323.166,0.93633
,325.861,1.30213
,328.553,1.00389
,331.243,1.0856
,333.93,1.31839
,336.615,1.17467
,339.297,1.44444
,341.976,1.30093
,344.653,1.16942
,347.327,0.868132
,349.998,1.19048
,352.666,1.29353
,355.331,1.1713
,357.994,1.49444
,360.653,1.25253
,363.309,1.2193
,365.962,1.50273
,368.612,1.0297
,371.259,1.27228
,373.903,1.15476
,376.543,1.48315
,379.18,1.0973
,381.813,1.92763
,384.443,1.4152
,387.07,1.60625
,389.693,1.45
,392.313,1.6319
,394.929,1.24044
,397.541,1.23158
,400.15,1.24468
,402.755,1.19697
,405.356,1.31361
,407.954,1.17614
,410.547,1.32143
,413.137,1.36022
,415.723,1.20188
,418.305,1.13389
,420.883,1.15038
,423.457,0.985755
,426.027,0.845638
,428.593,0.790199
,431.154,0.805054
,433.712,0.737679
,436.265,0.776945
,438.814,0.716718
,441.359,0.736813
,443.9,0.708435
,446.436,0.72548
,448.967,0.702277
,451.495,0.707799
,454.018,0.711945
,456.536,0.716272
,459.05,0.732402
,461.559,0.748769
,464.064,0.763097
,466.564,0.768168
,469.06,0.757667
,471.551,0.748253
,474.037,0.741843
,476.518,0.752282
,478.995,0.746035
,481.467,0.751613
,483.934,0.748976
,486.396,0.753352
,488.853,0.752788
,491.305,0.766164
,493.753,0.756287
,496.195,0.768692
,498.632,0.764401
,501.065,0.772395
,503.492,0.781377
,505.914,0.789559
,508.332,0.795581
,510.743,0.808629
,513.15,0.806189
,515.552,0.827154
,517.948,0.833661
,520.339,0.843719
,522.725,0.849011
,525.106,0.861854
,527.481,0.860945
,529.851,0.864808
,532.216,0.874971
,534.575,0.884959
,536.929,0.879388
,539.277,0.89233
,541.62,0.891421
,543.957,0.891924
,546.289,0.894616
,548.616,0.893823
,550.936,0.894754
,553.252,0.899044
,555.561,0.906152
,557.865,0.905734
,560.164,0.910792
,562.457,0.902824
,564.744,0.910486
,567.025,0.91704
,569.301,0.912501
,571.571,0.914748
,573.835,0.91651
,576.093,0.918831
,578.346,0.921141
,580.593,0.933387
,582.834,0.931062
,585.069,0.936951
,587.299,0.932816
,589.522,0.93829
,591.74,0.93933
,593.952,0.938905
,596.158,0.936751
,598.358,0.938267
,600.551,0.942642
,602.739,0.941865
,604.922,0.950002
,607.098,0.945751
,609.268,0.947198
,611.432,0.948064
,613.59,0.947735
,615.742,0.946861
,617.887,0.952529
,620.027,0.954305
,622.161,0.956137
,624.289,0.945871
,626.41,0.945922
,628.526,0.948772
,630.635,0.944601
,632.738,0.945522
,634.835,0.938333
,636.926,0.941116
,639.011,0.947921
,641.089,0.939339
,643.162,0.941665
,645.228,0.946763
,647.288,0.943853
,649.341,0.94723
,651.389,0.950056
,653.43,0.937637
,655.465,0.944923
,657.494,0.941937
,659.516,0.942426
,661.532,0.946143
,663.542,0.94032
,665.546,0.936317
,667.543,0.941435
,669.535,0.93636
,671.519,0.953385
,673.498,0.950026
,675.47,0.947974
,677.436,0.950795
,679.396,0.947948
,681.349,0.947203
,683.296,0.944582
,685.236,0.948027
,687.171,0.953865
,689.099,0.959406
,691.02,0.968307
,692.935,0.954932
,694.844,0.951204
,696.747,0.950635
,698.643,0.957345
,700.533,0.970992
,702.416,0.953251
,704.293,0.967317
,706.164,0.97477
,708.029,0.963553
,709.887,0.969118
,711.738,0.980198
,713.584,0.969438
,715.423,0.972599
,717.255,0.957713
,719.082,0.964948
,720.901,0.951357
,722.715,0.972895
,724.522,0.951505
,726.323,0.968733
,728.117,0.954938
,729.905,0.986602
,731.687,0.968997
,733.462,0.973241
,735.232,0.981621
,736.994,0.969976
,738.751,0.958482
,740.501,0.973805
,742.244,0.992694
,743.982,0.971339
,745.713,0.991198
,747.437,0.955765
,749.156,0.997331
,750.868,0.986231
,752.573,0.987196
,754.273,1.02014
,755.966,1.00297
,757.653,1.04043
,759.333,1.01391
,761.008,1.02776
,762.676,0.972544
,764.337,0.987171
,765.993,1.05055
,767.642,1.00929
,769.285,1.00153
,770.922,1.00743
,772.552,1.04252
,774.176,1.04069
,775.795,1.09788
,777.406,1.01816
,779.012,1.13517
,780.611,1.08163
,782.205,1.03846
,783.792,1.096
,785.373,1.12742
,786.947,1.13264
,788.516,1.1449
,790.078,1.07792
,791.635,1.06951
,793.185,1.06985
,794.729,1.13274
,796.267,1.18677
,797.799,1.11683
,799.325,1.10569
,800.844,1.21986
,802.358,1.16941
,803.866,1.15385
,805.368,1.33679
,806.863,1.12626
,808.353,1.10276
,809.836,1.15128
,811.314,1.24044
,812.786,1.24189
,814.252,1.18452
,815.711,1.13846
,817.165,1.27597
,818.613,1.22789
,820.055,1.13542
,821.491,1.21575
,822.922,1.19398
,824.346,1.01294
,825.765,1.10247
,827.178,1.45581
,828.585,1.38911
,829.986,1.32468
,831.381,1.45417
,832.771,1.20992
,834.155,1.05263
,835.533,1.22509
,836.906,1.27236
,838.272,1.13589
,839.633,0.92429
,840.989,1.09811
,842.339,1.45652
,843.683,1.32456
,845.021,1.32489
,846.354,1.27027
,847.682,1.18421
,849.004,1.26271
,850.32,1.248
,851.631,1.20087
,852.936,1.33175
,854.236,1.11504
,855.53,1.29577
,856.819,1.31868
,858.102,1.27184
,859.38,1.32227
,860.653,1.3617
,861.92,1.34821
,863.182,1.21635
,864.439,1.29208
,865.69,1.10582
,866.936,1.47541
,868.177,1.28837
,869.412,1.15842
,870.642,1.35152
,871.867,1.18229
,873.087,1.26203
,874.302,1.14136
,875.512,1.41954
,876.716,1.34659
,877.916,1.62025
,879.11,1.16374
,880.299,1.56774
,881.483,1.42169
,882.663,1.14881
,883.837,1.4527
,885.006,1.81967
,886.17,1.46541
,887.33,1.61589
,888.484,1.58
