,Wavelength[nm],Average
,320.469,8
,323.166,11
,325.861,6
,328.553,19
,331.243,-3
,333.93,8
,336.615,-37
,339.297,-17
,341.976,29
,344.653,-6
,347.327,7
,349.998,34
,352.666,-3
,355.331,-2
,357.994,18
,360.653,-37
,363.309,12
,365.962,44
,368.612,18
,371.259,30
,373.903,55
,376.543,61
,379.18,50
,381.813,140
,384.443,312
,387.07,969
,389.693,2866
,392.313,7479
,394.929,14710
,397.541,22250
,400.15,28602
,402.755,32862
,405.356,34737
,407.954,34840
,410.547,33555
,413.137,30086
,415.723,26259
,418.305,22746
,420.883,18847
,423.457,14876
,426.027,11213
,428.593,8899
,431.154,6971
,433.712,5801
,436.265,4940
,438.814,4297
,441.359,3768
,443.9,3495
,446.436,3232
,448.967,3151
,451.495,3078
,454.018,2984
,456.536,2940
,459.05,2940
,461.559,2910
,464.064,2925
,466.564,2946
,469.06,3106
,471.551,3103
,474.037,3213
,476.518,3173
,478.995,3208
,481.467,3152
,483.934,3302
,486.396,3434
,488.853,3515
,491.305,3491
,493.753,3547
,496.195,3484
,498.632,3508
,501.065,3586
,503.492,3566
,505.914,3575
,508.332,3556
,510.743,3598
,513.15,3658
,515.552,3675
,517.948,3681
,520.339,3590
,522.725,3441
,525.106,3333
,527.481,3373
,529.851,3276
,532.216,3355
,534.575,3356
,536.929,3282
,539.277,3288
,541.62,3262
,543.957,3232
,546.289,3082
,548.616,3008
,550.936,3031
,553.252,2941
,555.561,2857
,557.865,2643
,560.164,2563
,562.457,2526
,564.744,2406
,567.025,2312
,569.301,2249
,571.571,2164
,573.835,2050
,576.093,1954
,578.346,1910
,580.593,1823
,582.834,1758
,585.069,1687
,587.299,1625
,589.522,1547
,591.74,1486
,593.952,1427
,596.158,1354
,598.358,1224
,600.551,1205
,602.739,1199
,604.922,1139
,607.098,1080
,609.268,980
,611.432,1023
,613.59,972
,615.742,945
,617.887,900
,620.027,888
,622.161,834
,624.289,785
,626.41,800
,628.526,761
,630.635,689
,632.738,684
,634.835,628
,636.926,581
,639.011,629
,641.089,584
,643.162,553
,645.228,530
,647.288,506
,649.341,522
,651.389,461
,653.43,428
,655.465,380
,657.494,370
,659.516,354
,661.532,398
,663.542,314
,665.546,322
,667.543,346
,669.535,316
,671.519,312
,673.498,332
,675.47,281
,677.436,292
,679.396,262
,681.349,266
,683.296,259
,685.236,272
,687.171,238
,689.099,253
,691.02,226
,692.935,213
,694.844,160
,696.747,152
,698.643,171
,700.533,207
,702.416,168
,704.293,118
,706.164,116
,708.029,137
,709.887,112
,711.738,59
,713.584,98
,715.423,57
,717.255,67
,719.082,59
,720.901,121
,722.715,83
,724.522,91
,726.323,87
,728.117,51
,729.905,69
,731.687,52
,733.462,57
,735.232,65
,736.994,8
,738.751,4
,740.501,32
,742.244,56
,743.982,58
,745.713,49
,747.437,42
,749.156,46
,750.868,35
,752.573,4
,754.273,11
,755.966,43
,757.653,-34
,759.333,18
,761.008,-16
,762.676,20
,764.337,10
,765.993,40
,767.642,22
,769.285,4
,770.922,-23
,772.552,52
,774.176,14
,775.795,-23
,777.406,26
,779.012,-20
,780.611,11
,782.205,6
,783.792,-40
,785.373,-17
,786.947,-10
,788.516,-30
,790.078,-5
,791.635,9
,793.185,-30
,794.729,4
,796.267,-19
,797.799,-1
,799.325,10
,800.844,-29
,802.358,-46
,803.866,-12
,805.368,9
,806.863,-38
,808.353,11
,809.836,-16
,811.314,-10
,812.786,-33
,814.252,-7
,815.711,-1
,817.165,18
,818.613,39
,820.055,-9
,821.491,10
,822.922,25
,824.346,30
,825.765,-27
,827.178,-55
,828.585,-40
,829.986,-1
,831.381,-27
,832.771,-7
,834.155,17
,835.533,18
,836.906,-36
,838.272,-9
,839.633,-13
,840.989,-10
,842.339,-17
,843.683,7
,845.021,18
,846.354,-27
,847.682,6
,849.004,-7
,850.32,-32
,851.631,-11
,852.936,-35
,854.236,-22
,855.53,-9
,856.819,11
,858.102,-14
,859.38,-15
,860.653,-29
,861.92,-22
,863.182,0
,864.439,3
,865.69,-16
,866.936,4
,868.177,-42
,869.412,-15
,870.642,3
,871.867,10
,873.087,2
,874.302,-40
,875.512,-14
,876.716,-24
,877.916,2
,879.11,-28
,880.299,-27
,881.483,-9
,882.663,19
,883.837,8
,885.006,16
,886.17,-21
,887.33,-19
,888.484,-43
