,Wavelength[nm],Average
,320.469,-4
,323.166,47
,325.861,43
,328.553,30
,331.243,53
,333.93,50
,336.615,55
,339.297,66
,341.976,61
,344.653,31
,347.327,61
,349.998,60
,352.666,35
,355.331,67
,357.994,63
,360.653,13
,363.309,44
,365.962,51
,368.612,77
,371.259,86
,373.903,84
,376.543,92
,379.18,149
,381.813,217
,384.443,426
,387.07,1115
,389.693,3150
,392.313,7992
,394.929,15750
,397.541,23724
,400.15,30464
,402.755,34641
,405.356,36251
,407.954,36280
,410.547,34737
,413.137,31079
,415.723,27175
,418.305,23610
,420.883,19480
,423.457,15279
,426.027,11554
,428.593,9186
,431.154,7197
,433.712,6097
,436.265,5051
,438.814,4404
,441.359,3861
,443.9,3591
,446.436,3401
,448.967,3283
,451.495,3225
,454.018,3157
,456.536,3113
,459.05,3128
,461.559,3076
,464.064,3059
,466.564,3031
,469.06,3241
,471.551,3268
,474.037,3407
,476.518,3332
,478.995,3336
,481.467,3311
,483.934,3373
,486.396,3495
,488.853,3558
,491.305,3569
,493.753,3579
,496.195,3523
,498.632,3571
,501.065,3596
,503.492,3601
,505.914,3580
,508.332,3592
,510.743,3601
,513.15,3671
,515.552,3594
,517.948,3668
,520.339,3580
,522.725,3434
,525.106,3328
,527.481,3314
,529.851,3235
,532.216,3343
,534.575,3345
,536.929,3355
,539.277,3288
,541.62,3247
,543.957,3192
,546.289,3053
,548.616,2933
,550.936,2966
,553.252,2864
,555.561,2789
,557.865,2711
,560.164,2648
,562.457,2507
,564.744,2341
,567.025,2323
,569.301,2221
,571.571,2216
,573.835,1993
,576.093,1968
,578.346,1960
,580.593,1846
,582.834,1807
,585.069,1730
,587.299,1701
,589.522,1610
,591.74,1562
,593.952,1446
,596.158,1334
,598.358,1220
,600.551,1247
,602.739,1205
,604.922,1186
,607.098,1143
,609.268,1059
,611.432,994
,613.59,1016
,615.742,950
,617.887,916
,620.027,917
,622.161,912
,624.289,818
,626.41,803
,628.526,792
,630.635,751
,632.738,736
,634.835,652
,636.926,655
,639.011,690
,641.089,614
,643.162,575
,645.228,578
,647.288,569
,649.341,526
,651.389,498
,653.43,509
,655.465,490
,657.494,448
,659.516,391
,661.532,413
,663.542,393
,665.546,399
,667.543,358
,669.535,378
,671.519,381
,673.498,363
,675.47,380
,677.436,348
,679.396,337
,681.349,347
,683.296,334
,685.236,356
,687.171,343
,689.099,307
,691.02,257
,692.935,264
,694.844,223
,696.747,229
,698.643,235
,700.533,236
,702.416,177
,704.293,191
,706.164,186
,708.029,161
,709.887,139
,711.738,151
,713.584,133
,715.423,140
,717.255,140
,719.082,107
,720.901,163
,722.715,117
,724.522,115
,726.323,77
,728.117,99
,729.905,113
,731.687,110
,733.462,133
,735.232,93
,736.994,70
,738.751,73
,740.501,79
,742.244,116
,743.982,105
,745.713,110
,747.437,101
,749.156,82
,750.868,58
,752.573,72
,754.273,54
,755.966,52
,757.653,73
,759.333,48
,761.008,92
,762.676,41
,764.337,29
,765.993,51
,767.642,20
,769.285,64
,770.922,77
,772.552,33
,774.176,57
,775.795,82
,777.406,53
,779.012,54
,780.611,23
,782.205,51
,783.792,63
,785.373,69
,786.947,72
,788.516,56
,790.078,63
,791.635,52
,793.185,57
,794.729,37
,796.267,16
,797.799,22
,799.325,34
,800.844,17
,802.358,48
,803.866,29
,805.368,1
,806.863,62
,808.353,44
,809.836,33
,811.314,45
,812.786,48
,814.252,38
,815.711,38
,817.165,28
,818.613,36
,820.055,69
,821.491,42
,822.922,58
,824.346,41
,825.765,36
,827.178,20
,828.585,10
,829.986,23
,831.381,62
,832.771,27
,834.155,-3
,835.533,55
,836.906,28
,838.272,47
,839.633,0
,840.989,21
,842.339,39
,843.683,67
,845.021,42
,846.354,24
,847.682,25
,849.004,15
,850.32,19
,851.631,5
,852.936,4
,854.236,34
,855.53,59
,856.819,22
,858.102,33
,859.38,29
,860.653,43
,861.92,58
,863.182,41
,864.439,22
,865.69,28
,866.936,77
,868.177,46
,869.412,49
,870.642,19
,871.867,30
,873.087,49
,874.302,24
,875.512,69
,876.716,36
,877.916,37
,879.11,26
,880.299,37
,881.483,17
,882.663,53
,883.837,28
,885.006,15
,886.17,24
,887.33,53
,888.484,31
