,Wavelength[nm],Average
,320.469,1
,323.166,31
,325.861,15
,328.553,46
,331.243,14
,333.93,38
,336.615,57
,339.297,11
,341.976,50
,344.653,10
,347.327,50
,349.998,52
,352.666,39
,355.331,51
,357.994,27
,360.653,58
,363.309,26
,365.962,62
,368.612,57
,371.259,45
,373.903,39
,376.543,60
,379.18,75
,381.813,132
,384.443,310
,387.07,947
,389.693,2716
,392.313,7030
,394.929,14051
,397.541,21430
,400.15,27960
,402.755,31784
,405.356,33715
,407.954,34003
,410.547,32564
,413.137,29082
,415.723,25662
,418.305,22217
,420.883,18374
,423.457,14567
,426.027,11027
,428.593,8709
,431.154,6883
,433.712,5752
,436.265,4851
,438.814,4246
,441.359,3745
,443.9,3351
,446.436,3156
,448.967,3126
,451.495,2935
,454.018,3036
,456.536,2996
,459.05,2959
,461.559,2906
,464.064,2882
,466.564,2939
,469.06,3024
,471.551,3167
,474.037,3144
,476.518,3189
,478.995,3142
,481.467,3176
,483.934,3218
,486.396,3308
,488.853,3424
,491.305,3510
,493.753,3461
,496.195,3468
,498.632,3509
,501.065,3525
,503.492,3556
,505.914,3538
,508.332,3567
,510.743,3547
,513.15,3583
,515.552,3628
,517.948,3598
,520.339,3487
,522.725,3418
,525.106,3298
,527.481,3254
,529.851,3251
,532.216,3305
,534.575,3246
,536.929,3251
,539.277,3251
,541.62,3177
,543.957,3129
,546.289,2995
,548.616,2902
,550.936,2938
,553.252,2789
,555.561,2804
,557.865,2652
,560.164,2513
,562.457,2457
,564.744,2356
,567.025,2264
,569.301,2197
,571.571,2119
,573.835,1990
,576.093,1912
,578.346,1810
,580.593,1795
,582.834,1742
,585.069,1695
,587.299,1626
,589.522,1515
,591.74,1463
,593.952,1371
,596.158,1285
,598.358,1263
,600.551,1183
,602.739,1152
,604.922,1092
,607.098,1102
,609.268,1027
,611.432,975
,613.59,958
,615.742,922
,617.887,895
,620.027,848
,622.161,797
,624.289,817
,626.41,789
,628.526,775
,630.635,710
,632.738,670
,634.835,660
,636.926,607
,639.011,601
,641.089,608
,643.162,576
,645.228,546
,647.288,514
,649.341,505
,651.389,466
,653.43,452
,655.465,434
,657.494,412
,659.516,388
,661.532,358
,663.542,356
,665.546,361
,667.543,347
,669.535,322
,671.519,345
,673.498,329
,675.47,331
,677.436,298
,679.396,315
,681.349,324
,683.296,288
,685.236,284
,687.171,300
,689.099,276
,691.02,247
,692.935,240
,694.844,229
,696.747,191
,698.643,176
,700.533,187
,702.416,185
,704.293,129
,706.164,164
,708.029,154
,709.887,148
,711.738,127
,713.584,125
,715.423,105
,717.255,119
,719.082,120
,720.901,104
,722.715,122
,724.522,93
,726.323,116
,728.117,108
,729.905,113
,731.687,69
,733.462,67
,735.232,91
,736.994,86
,738.751,80
,740.501,57
,742.244,76
,743.982,54
,745.713,71
,747.437,55
,749.156,71
,750.868,74
,752.573,37
,754.273,55
,755.966,36
,757.653,26
,759.333,38
,761.008,77
,762.676,36
,764.337,26
,765.993,41
,767.642,19
,769.285,25
,770.922,52
,772.552,32
,774.176,27
,775.795,33
,777.406,26
,779.012,16
,780.611,34
,782.205,38
,783.792,23
,785.373,32
,786.947,45
,788.516,70
,790.078,27
,791.635,24
,793.185,28
,794.729,11
,796.267,30
,797.799,27
,799.325,19
,800.844,19
,802.358,12
,803.866,35
,805.368,37
,806.863,-4
,808.353,33
,809.836,-3
,811.314,21
,812.786,30
,814.252,4
,815.711,-19
,817.165,-17
,818.613,-1
,820.055,33
,821.491,11
,822.922,38
,824.346,34
,825.765,40
,827.178,29
,828.585,25
,829.986,33
,831.381,32
,832.771,43
,834.155,13
,835.533,24
,836.906,7
,838.272,25
,839.633,-16
,840.989,-4
,842.339,32
,843.683,25
,845.021,51
,846.354,16
,847.682,50
,849.004,31
,850.32,-5
,851.631,-26
,852.936,55
,854.236,37
,855.53,12
,856.819,37
,858.102,28
,859.38,26
,860.653,41
,861.92,30
,863.182,4
,864.439,27
,865.69,18
,866.936,4
,868.177,17
,869.412,8
,870.642,18
,871.867,36
,873.087,11
,874.302,-6
,875.512,31
,876.716,3
,877.916,32
,879.11,14
,880.299,18
,881.483,20
,882.663,21
,883.837,16
,885.006,19
,886.17,21
,887.33,1
,888.484,29
