,Wavelength[nm],Average
,320.469,-11
,323.166,69
,325.861,36
,328.553,52
,331.243,34
,333.93,64
,336.615,68
,339.297,41
,341.976,44
,344.653,29
,347.327,56
,349.998,67
,352.666,65
,355.331,26
,357.994,35
,360.653,63
,363.309,60
,365.962,82
,368.612,59
,371.259,97
,373.903,71
,376.543,47
,379.18,133
,381.813,221
,384.443,424
,387.07,1201
,389.693,3299
,392.313,8495
,394.929,16221
,397.541,24606
,400.15,31504
,402.755,35699
,405.356,36989
,407.954,36705
,410.547,35056
,413.137,30980
,415.723,26657
,418.305,22952
,420.883,18469
,423.457,14212
,426.027,10550
,428.593,8039
,431.154,6137
,433.712,4896
,436.265,3989
,438.814,3284
,441.359,2860
,443.9,2452
,446.436,2311
,448.967,2108
,451.495,2036
,454.018,2002
,456.536,1897
,459.05,1834
,461.559,1865
,464.064,1890
,466.564,1914
,469.06,1866
,471.551,1957
,474.037,2003
,476.518,2013
,478.995,1959
,481.467,1974
,483.934,2000
,486.396,2013
,488.853,2068
,491.305,2069
,493.753,2032
,496.195,2003
,498.632,1983
,501.065,1996
,503.492,1917
,505.914,1988
,508.332,2014
,510.743,1953
,513.15,1932
,515.552,1942
,517.948,1906
,520.339,1819
,522.725,1762
,525.106,1705
,527.481,1706
,529.851,1648
,532.216,1675
,534.575,1697
,536.929,1668
,539.277,1650
,541.62,1594
,543.957,1616
,546.289,1508
,548.616,1479
,550.936,1458
,553.252,1416
,555.561,1430
,557.865,1335
,560.164,1303
,562.457,1250
,564.744,1230
,567.025,1176
,569.301,1123
,571.571,1072
,573.835,1021
,576.093,1023
,578.346,1024
,580.593,981
,582.834,943
,585.069,912
,587.299,857
,589.522,812
,591.74,761
,593.952,751
,596.158,676
,598.358,717
,600.551,666
,602.739,655
,604.922,616
,607.098,619
,609.268,632
,611.432,530
,613.59,561
,615.742,555
,617.887,530
,620.027,506
,622.161,527
,624.289,432
,626.41,428
,628.526,416
,630.635,463
,632.738,437
,634.835,381
,636.926,374
,639.011,405
,641.089,356
,643.162,342
,645.228,344
,647.288,361
,649.341,328
,651.389,321
,653.43,287
,655.465,273
,657.494,266
,659.516,291
,661.532,237
,663.542,256
,665.546,234
,667.543,226
,669.535,231
,671.519,229
,673.498,231
,675.47,206
,677.436,196
,679.396,219
,681.349,202
,683.296,183
,685.236,175
,687.171,193
,689.099,204
,691.02,187
,692.935,208
,694.844,170
,696.747,146
,698.643,149
,700.533,122
,702.416,112
,704.293,129
,706.164,118
,708.029,100
,709.887,138
,711.738,129
,713.584,113
,715.423,59
,717.255,92
,719.082,65
,720.901,115
,722.715,101
,724.522,61
,726.323,117
,728.117,76
,729.905,78
,731.687,107
,733.462,56
,735.232,70
,736.994,103
,738.751,67
,740.501,70
,742.244,57
,743.982,64
,745.713,65
,747.437,54
,749.156,48
,750.868,84
,752.573,58
,754.273,43
,755.966,70
,757.653,54
,759.333,30
,761.008,68
,762.676,81
,764.337,50
,765.993,70
,767.642,45
,769.285,36
,770.922,42
,772.552,57
,774.176,52
,775.795,45
,777.406,50
,779.012,-3
,780.611,48
,782.205,68
,783.792,30
,785.373,48
,786.947,46
,788.516,47
,790.078,33
,791.635,56
,793.185,56
,794.729,54
,796.267,34
,797.799,80
,799.325,15
,800.844,24
,802.358,45
,803.866,34
,805.368,27
,806.863,19
,808.353,27
,809.836,55
,811.314,20
,812.786,4
,814.252,15
,815.711,75
,817.165,30
,818.613,36
,820.055,35
,821.491,39
,822.922,51
,824.346,53
,825.765,24
,827.178,59
,828.585,101
,829.986,32
,831.381,18
,832.771,18
,834.155,54
,835.533,40
,836.906,60
,838.272,59
,839.633,30
,840.989,6
,842.339,26
,843.683,32
,845.021,43
,846.354,23
,847.682,53
,849.004,51
,850.32,20
,851.631,23
,852.936,36
,854.236,60
,855.53,15
,856.819,35
,858.102,1
,859.38,42
,860.653,21
,861.92,33
,863.182,40
,864.439,34
,865.69,92
,866.936,33
,868.177,17
,869.412,64
,870.642,21
,871.867,21
,873.087,59
,874.302,36
,875.512,41
,876.716,23
,877.916,51
,879.11,1
,880.299,49
,881.483,26
,882.663,26
,883.837,58
,885.006,18
,886.17,27
,887.33,25
,888.484,47
