,Wavelength[nm],Average
,320.469,-2
,323.166,45
,325.861,43
,328.553,31
,331.243,38
,333.93,22
,336.615,84
,339.297,63
,341.976,49
,344.653,42
,347.327,44
,349.998,39
,352.666,71
,355.331,61
,357.994,67
,360.653,65
,363.309,61
,365.962,58
,368.612,64
,371.259,41
,373.903,80
,376.543,106
,379.18,152
,381.813,214
,384.443,438
,387.07,1204
,389.693,3452
,392.313,8899
,394.929,17170
,397.541,25843
,400.15,33120
,402.755,37578
,405.356,39230
,407.954,38963
,410.547,37245
,413.137,33059
,415.723,28863
,418.305,24960
,420.883,20324
,423.457,15767
,426.027,11779
,428.593,9211
,431.154,7062
,433.712,5889
,436.265,4781
,438.814,4031
,441.359,3559
,443.9,3217
,446.436,2892
,448.967,2820
,451.495,2787
,454.018,2708
,456.536,2643
,459.05,2613
,461.559,2566
,464.064,2603
,466.564,2603
,469.06,2724
,471.551,2724
,474.037,2783
,476.518,2810
,478.995,2769
,481.467,2784
,483.934,2856
,486.396,2947
,488.853,2934
,491.305,3008
,493.753,2983
,496.195,2948
,498.632,2920
,501.065,2962
,503.492,2900
,505.914,2890
,508.332,2873
,510.743,2805
,513.15,2814
,515.552,2871
,517.948,2839
,520.339,2758
,522.725,2630
,525.106,2587
,527.481,2515
,529.851,2486
,532.216,2459
,534.575,2531
,536.929,2509
,539.277,2464
,541.62,2467
,543.957,2370
,546.289,2291
,548.616,2206
,550.936,2195
,553.252,2174
,555.561,2114
,557.865,2030
,560.164,1890
,562.457,1846
,564.744,1719
,567.025,1740
,569.301,1720
,571.571,1648
,573.835,1554
,576.093,1437
,578.346,1455
,580.593,1396
,582.834,1309
,585.069,1306
,587.299,1229
,589.522,1184
,591.74,1179
,593.952,1080
,596.158,1051
,598.358,998
,600.551,920
,602.739,957
,604.922,885
,607.098,876
,609.268,819
,611.432,822
,613.59,790
,615.742,755
,617.887,767
,620.027,738
,622.161,690
,624.289,651
,626.41,655
,628.526,641
,630.635,588
,632.738,567
,634.835,551
,636.926,525
,639.011,518
,641.089,474
,643.162,477
,645.228,439
,647.288,450
,649.341,406
,651.389,364
,653.43,354
,655.465,360
,657.494,369
,659.516,346
,661.532,310
,663.542,314
,665.546,288
,667.543,290
,669.535,292
,671.519,286
,673.498,298
,675.47,271
,677.436,295
,679.396,256
,681.349,253
,683.296,267
,685.236,278
,687.171,242
,689.099,256
,691.02,228
,692.935,201
,694.844,185
,696.747,197
,698.643,185
,700.533,141
,702.416,119
,704.293,139
,706.164,153
,708.029,121
,709.887,125
,711.738,96
,713.584,83
,715.423,71
,717.255,104
,719.082,93
,720.901,78
,722.715,91
,724.522,73
,726.323,71
,728.117,95
,729.905,124
,731.687,83
,733.462,50
,735.232,79
,736.994,82
,738.751,83
,740.501,40
,742.244,77
,743.982,79
,745.713,85
,747.437,56
,749.156,45
,750.868,62
,752.573,67
,754.273,14
,755.966,51
,757.653,50
,759.333,76
,761.008,51
,762.676,31
,764.337,45
,765.993,72
,767.642,44
,769.285,34
,770.922,66
,772.552,28
,774.176,63
,775.795,52
,777.406,59
,779.012,49
,780.611,66
,782.205,47
,783.792,19
,785.373,3
,786.947,48
,788.516,28
,790.078,-1
,791.635,35
,793.185,44
,794.729,43
,796.267,30
,797.799,29
,799.325,37
,800.844,48
,802.358,52
,803.866,45
,805.368,18
,806.863,17
,808.353,8
,809.836,46
,811.314,45
,812.786,0
,814.252,17
,815.711,26
,817.165,39
,818.613,24
,820.055,29
,821.491,18
,822.922,45
,824.346,31
,825.765,16
,827.178,21
,828.585,46
,829.986,-4
,831.381,32
,832.771,10
,834.155,46
,835.533,18
,836.906,43
,838.272,26
,839.633,25
,840.989,26
,842.339,9
,843.683,37
,845.021,26
,846.354,-3
,847.682,40
,849.004,41
,850.32,27
,851.631,39
,852.936,-40
,854.236,26
,855.53,0
,856.819,60
,858.102,30
,859.38,44
,860.653,31
,861.92,29
,863.182,54
,864.439,35
,865.69,28
,866.936,40
,868.177,23
,869.412,28
,870.642,23
,871.867,30
,873.087,14
,874.302,34
,875.512,37
,876.716,51
,877.916,35
,879.11,30
,880.299,24
,881.483,57
,882.663,53
,883.837,45
,885.006,36
,886.17,45
,887.33,39
,888.484,38
