,Wavelength[nm],Average
,320.469,-3
,323.166,28
,325.861,36
,328.553,1
,331.243,24
,333.93,66
,336.615,38
,339.297,-13
,341.976,22
,344.653,57
,347.327,25
,349.998,42
,352.666,51
,355.331,27
,357.994,35
,360.653,36
,363.309,34
,365.962,34
,368.612,59
,371.259,64
,373.903,69
,376.543,78
,379.18,116
,381.813,202
,384.443,377
,387.07,1135
,389.693,3374
,392.313,8638
,394.929,16811
,397.541,25169
,400.15,32102
,402.755,36556
,405.356,38000
,407.954,38316
,410.547,36314
,413.137,32324
,415.723,27943
,418.305,24076
,420.883,19820
,423.457,15226
,426.027,11389
,428.593,8929
,431.154,6825
,433.712,5595
,436.265,4660
,438.814,3909
,441.359,3440
,443.9,3074
,446.436,2877
,448.967,2715
,451.495,2610
,454.018,2588
,456.536,2476
,459.05,2523
,461.559,2479
,464.064,2499
,466.564,2459
,469.06,2576
,471.551,2621
,474.037,2715
,476.518,2715
,478.995,2679
,481.467,2706
,483.934,2714
,486.396,2817
,488.853,2829
,491.305,2900
,493.753,2883
,496.195,2844
,498.632,2803
,501.065,2824
,503.492,2781
,505.914,2741
,508.332,2748
,510.743,2778
,513.15,2784
,515.552,2788
,517.948,2747
,520.339,2631
,522.725,2536
,525.106,2522
,527.481,2495
,529.851,2427
,532.216,2468
,534.575,2460
,536.929,2410
,539.277,2313
,541.62,2373
,543.957,2346
,546.289,2213
,548.616,2120
,550.936,2106
,553.252,2114
,555.561,2020
,557.865,1960
,560.164,1824
,562.457,1767
,564.744,1701
,567.025,1693
,569.301,1663
,571.571,1568
,573.835,1483
,576.093,1443
,578.346,1345
,580.593,1315
,582.834,1320
,585.069,1287
,587.299,1208
,589.522,1153
,591.74,1080
,593.952,1038
,596.158,992
,598.358,956
,600.551,913
,602.739,918
,604.922,895
,607.098,833
,609.268,794
,611.432,717
,613.59,754
,615.742,689
,617.887,669
,620.027,657
,622.161,639
,624.289,618
,626.41,646
,628.526,599
,630.635,546
,632.738,553
,634.835,503
,636.926,473
,639.011,466
,641.089,458
,643.162,431
,645.228,405
,647.288,421
,649.341,383
,651.389,338
,653.43,355
,655.465,341
,657.494,321
,659.516,292
,661.532,299
,663.542,312
,665.546,272
,667.543,289
,669.535,287
,671.519,247
,673.498,272
,675.47,208
,677.436,241
,679.396,249
,681.349,229
,683.296,195
,685.236,254
,687.171,220
,689.099,223
,691.02,213
,692.935,189
,694.844,177
,696.747,152
,698.643,145
,700.533,181
,702.416,114
,704.293,135
,706.164,107
,708.029,87
,709.887,102
,711.738,107
,713.584,106
,715.423,118
,717.255,74
,719.082,31
,720.901,64
,722.715,116
,724.522,72
,726.323,86
,728.117,47
,729.905,65
,731.687,47
,733.462,-2
,735.232,47
,736.994,27
,738.751,64
,740.501,10
,742.244,73
,743.982,40
,745.713,33
,747.437,30
,749.156,40
,750.868,24
,752.573,65
,754.273,39
,755.966,21
,757.653,30
,759.333,-6
,761.008,-6
,762.676,-3
,764.337,39
,765.993,68
,767.642,12
,769.285,3
,770.922,21
,772.552,10
,774.176,39
,775.795,14
,777.406,33
,779.012,16
,780.611,8
,782.205,14
,783.792,-14
,785.373,-30
,786.947,34
,788.516,32
,790.078,15
,791.635,55
,793.185,5
,794.729,17
,796.267,22
,797.799,-4
,799.325,-8
,800.844,-23
,802.358,-15
,803.866,-4
,805.368,17
,806.863,-21
,808.353,42
,809.836,21
,811.314,20
,812.786,-26
,814.252,1
,815.711,7
,817.165,-11
,818.613,-1
,820.055,-1
,821.491,10
,822.922,22
,824.346,9
,825.765,2
,827.178,-11
,828.585,36
,829.986,35
,831.381,-17
,832.771,-20
,834.155,35
,835.533,7
,836.906,10
,838.272,0
,839.633,-3
,840.989,31
,842.339,8
,843.683,6
,845.021,16
,846.354,-18
,847.682,-9
,849.004,22
,850.32,-7
,851.631,16
,852.936,10
,854.236,-9
,855.53,9
,856.819,7
,858.102,36
,859.38,27
,860.653,43
,861.92,45
,863.182,7
,864.439,4
,865.69,22
,866.936,9
,868.177,27
,869.412,-9
,870.642,-2
,871.867,13
,873.087,19
,874.302,20
,875.512,25
,876.716,30
,877.916,26
,879.11,6
,880.299,44
,881.483,19
,882.663,2
,883.837,33
,885.006,10
,886.17,-1
,887.33,16
,888.484,5
