,Wavelength[nm],Average
,320.469,-14
,323.166,27
,325.861,22
,328.553,3
,331.243,14
,333.93,56
,336.615,-17
,339.297,8
,341.976,-7
,344.653,16
,347.327,36
,349.998,13
,352.666,24
,355.331,32
,357.994,50
,360.653,-31
,363.309,36
,365.962,45
,368.612,43
,371.259,28
,373.903,31
,376.543,40
,379.18,66
,381.813,151
,384.443,378
,387.07,1040
,389.693,3138
,392.313,7974
,394.929,15793
,397.541,23655
,400.15,30491
,402.755,34773
,405.356,36341
,407.954,36441
,410.547,34850
,413.137,31280
,415.723,27325
,418.305,23593
,420.883,19353
,423.457,15256
,426.027,11481
,428.593,9075
,431.154,7119
,433.712,5923
,436.265,4967
,438.814,4368
,441.359,3839
,443.9,3542
,446.436,3239
,448.967,3203
,451.495,3020
,454.018,3102
,456.536,3015
,459.05,2925
,461.559,3006
,464.064,2999
,466.564,3044
,469.06,3168
,471.551,3187
,474.037,3226
,476.518,3259
,478.995,3225
,481.467,3303
,483.934,3309
,486.396,3480
,488.853,3543
,491.305,3607
,493.753,3562
,496.195,3616
,498.632,3552
,501.065,3632
,503.492,3674
,505.914,3629
,508.332,3664
,510.743,3651
,513.15,3697
,515.552,3822
,517.948,3767
,520.339,3632
,522.725,3527
,525.106,3433
,527.481,3393
,529.851,3412
,532.216,3405
,534.575,3435
,536.929,3409
,539.277,3372
,541.62,3348
,543.957,3287
,546.289,3170
,548.616,3096
,550.936,3069
,553.252,2997
,555.561,2865
,557.865,2809
,560.164,2654
,562.457,2570
,564.744,2451
,567.025,2437
,569.301,2326
,571.571,2272
,573.835,2113
,576.093,1923
,578.346,1991
,580.593,1927
,582.834,1894
,585.069,1755
,587.299,1688
,589.522,1564
,591.74,1507
,593.952,1448
,596.158,1359
,598.358,1303
,600.551,1254
,602.739,1183
,604.922,1156
,607.098,1101
,609.268,1097
,611.432,1023
,613.59,963
,615.742,927
,617.887,888
,620.027,897
,622.161,850
,624.289,855
,626.41,765
,628.526,803
,630.635,727
,632.738,678
,634.835,640
,636.926,619
,639.011,607
,641.089,609
,643.162,612
,645.228,520
,647.288,560
,649.341,503
,651.389,436
,653.43,446
,655.465,405
,657.494,417
,659.516,354
,661.532,384
,663.542,354
,665.546,367
,667.543,344
,669.535,336
,671.519,345
,673.498,318
,675.47,305
,677.436,289
,679.396,294
,681.349,252
,683.296,241
,685.236,266
,687.171,243
,689.099,281
,691.02,242
,692.935,222
,694.844,176
,696.747,181
,698.643,165
,700.533,176
,702.416,138
,704.293,134
,706.164,122
,708.029,126
,709.887,93
,711.738,89
,713.584,87
,715.423,141
,717.255,107
,719.082,95
,720.901,25
,722.715,100
,724.522,87
,726.323,54
,728.117,76
,729.905,31
,731.687,52
,733.462,78
,735.232,54
,736.994,27
,738.751,39
,740.501,46
,742.244,38
,743.982,33
,745.713,14
,747.437,58
,749.156,40
,750.868,12
,752.573,-2
,754.273,5
,755.966,19
,757.653,16
,759.333,1
,761.008,-18
,762.676,10
,764.337,19
,765.993,30
,767.642,10
,769.285,2
,770.922,6
,772.552,-20
,774.176,-6
,775.795,-19
,777.406,15
,779.012,-10
,780.611,-16
,782.205,16
,783.792,-21
,785.373,14
,786.947,-24
,788.516,0
,790.078,26
,791.635,39
,793.185,-8
,794.729,-20
,796.267,24
,797.799,-20
,799.325,-5
,800.844,-23
,802.358,-53
,803.866,-10
,805.368,-29
,806.863,-20
,808.353,35
,809.836,-5
,811.314,16
,812.786,-51
,814.252,50
,815.711,3
,817.165,-5
,818.613,-21
,820.055,4
,821.491,-5
,822.922,30
,824.346,-10
,825.765,18
,827.178,-35
,828.585,-5
,829.986,-14
,831.381,-19
,832.771,-37
,834.155,-23
,835.533,-5
,836.906,-27
,838.272,12
,839.633,-8
,840.989,1
,842.339,-7
,843.683,-24
,845.021,11
,846.354,0
,847.682,4
,849.004,-2
,850.32,3
,851.631,38
,852.936,47
,854.236,5
,855.53,-54
,856.819,-27
,858.102,-1
,859.38,-22
,860.653,-10
,861.92,-16
,863.182,-25
,864.439,18
,865.69,-24
,866.936,-19
,868.177,7
,869.412,-30
,870.642,28
,871.867,3
,873.087,-11
,874.302,-23
,875.512,-9
,876.716,24
,877.916,-39
,879.11,9
,880.299,-16
,881.483,-7
,882.663,-4
,883.837,-7
,885.006,6
,886.17,11
,887.33,-16
,888.484,7
