,Wavelength[nm],Average
,320.469,4
,323.166,-2
,325.861,3
,328.553,52
,331.243,3
,333.93,-6
,336.615,-9
,339.297,-15
,341.976,15
,344.653,-18
,347.327,10
,349.998,17
,352.666,-1
,355.331,-16
,357.994,-2
,360.653,16
,363.309,-19
,365.962,-6
,368.612,6
,371.259,6
,373.903,55
,376.543,69
,379.18,83
,381.813,143
,384.443,368
,387.07,1045
,389.693,3201
,392.313,8402
,394.929,16171
,397.541,24328
,400.15,31157
,402.755,35689
,405.356,36640
,407.954,36859
,410.547,34925
,413.137,31086
,415.723,27034
,418.305,23279
,420.883,19057
,423.457,14639
,426.027,10890
,428.593,8514
,431.154,6627
,433.712,5361
,436.265,4424
,438.814,3785
,441.359,3341
,443.9,2997
,446.436,2723
,448.967,2665
,451.495,2554
,454.018,2551
,456.536,2459
,459.05,2423
,461.559,2412
,464.064,2366
,466.564,2432
,469.06,2511
,471.551,2591
,474.037,2601
,476.518,2609
,478.995,2579
,481.467,2594
,483.934,2702
,486.396,2736
,488.853,2867
,491.305,2827
,493.753,2809
,496.195,2812
,498.632,2838
,501.065,2810
,503.492,2841
,505.914,2796
,508.332,2840
,510.743,2811
,513.15,2880
,515.552,2872
,517.948,2870
,520.339,2759
,522.725,2677
,525.106,2555
,527.481,2586
,529.851,2512
,532.216,2541
,534.575,2508
,536.929,2494
,539.277,2444
,541.62,2469
,543.957,2385
,546.289,2330
,548.616,2194
,550.936,2240
,553.252,2133
,555.561,2086
,557.865,2021
,560.164,1916
,562.457,1829
,564.744,1774
,567.025,1674
,569.301,1689
,571.571,1624
,573.835,1516
,576.093,1459
,578.346,1451
,580.593,1419
,582.834,1351
,585.069,1292
,587.299,1253
,589.522,1185
,591.74,1090
,593.952,1074
,596.158,1013
,598.358,982
,600.551,942
,602.739,914
,604.922,849
,607.098,807
,609.268,793
,611.432,726
,613.59,715
,615.742,658
,617.887,713
,620.027,650
,622.161,663
,624.289,610
,626.41,600
,628.526,553
,630.635,590
,632.738,534
,634.835,477
,636.926,436
,639.011,440
,641.089,424
,643.162,432
,645.228,414
,647.288,430
,649.341,398
,651.389,347
,653.43,281
,655.465,322
,657.494,325
,659.516,289
,661.532,264
,663.542,239
,665.546,259
,667.543,229
,669.535,239
,671.519,224
,673.498,212
,675.47,220
,677.436,205
,679.396,197
,681.349,197
,683.296,190
,685.236,171
,687.171,173
,689.099,207
,691.02,154
,692.935,134
,694.844,161
,696.747,149
,698.643,91
,700.533,120
,702.416,95
,704.293,55
,706.164,66
,708.029,64
,709.887,63
,711.738,65
,713.584,74
,715.423,59
,717.255,84
,719.082,29
,720.901,48
,722.715,55
,724.522,44
,726.323,43
,728.117,38
,729.905,45
,731.687,45
,733.462,17
,735.232,10
,736.994,1
,738.751,42
,740.501,38
,742.244,20
,743.982,17
,745.713,25
,747.437,37
,749.156,2
,750.868,2
,752.573,33
,754.273,13
,755.966,11
,757.653,-45
,759.333,-5
,761.008,-27
,762.676,48
,764.337,12
,765.993,-6
,767.642,-20
,769.285,5
,770.922,-37
,772.552,-23
,774.176,-56
,775.795,2
,777.406,-32
,779.012,0
,780.611,2
,782.205,-36
,783.792,-16
,785.373,-24
,786.947,-13
,788.516,-25
,790.078,-10
,791.635,-44
,793.185,-20
,794.729,5
,796.267,-45
,797.799,-30
,799.325,-29
,800.844,-47
,802.358,-42
,803.866,-49
,805.368,-5
,806.863,4
,808.353,-10
,809.836,-7
,811.314,4
,812.786,-37
,814.252,-58
,815.711,-41
,817.165,-37
,818.613,-23
,820.055,-12
,821.491,-31
,822.922,-52
,824.346,-51
,825.765,-33
,827.178,-17
,828.585,-30
,829.986,-35
,831.381,-40
,832.771,-63
,834.155,-42
,835.533,-33
,836.906,-47
,838.272,-24
,839.633,-40
,840.989,-19
,842.339,-20
,843.683,-83
,845.021,-4
,846.354,-27
,847.682,-27
,849.004,-14
,850.32,-33
,851.631,-30
,852.936,-9
,854.236,-37
,855.53,-57
,856.819,-41
,858.102,-44
,859.38,-18
,860.653,-6
,861.92,-28
,863.182,-40
,864.439,5
,865.69,-16
,866.936,-10
,868.177,-50
,869.412,-38
,870.642,-49
,871.867,-34
,873.087,-42
,874.302,-41
,875.512,-62
,876.716,-27
,877.916,-30
,879.11,-47
,880.299,-37
,881.483,-37
,882.663,-15
,883.837,-35
,885.006,-38
,886.17,4
,887.33,-20
,888.484,-60
