,Wavelength[nm],Average
,320.469,-4
,323.166,-5
,325.861,17
,328.553,24
,331.243,-6
,333.93,42
,336.615,5
,339.297,52
,341.976,17
,344.653,31
,347.327,17
,349.998,20
,352.666,47
,355.331,23
,357.994,25
,360.653,34
,363.309,57
,365.962,79
,368.612,40
,371.259,48
,373.903,63
,376.543,65
,379.18,80
,381.813,160
,384.443,401
,387.07,1124
,389.693,3326
,392.313,8381
,394.929,16378
,397.541,24495
,400.15,31038
,402.755,35525
,405.356,36839
,407.954,36739
,410.547,34741
,413.137,30571
,415.723,26493
,418.305,22821
,420.883,18404
,423.457,14037
,426.027,10501
,428.593,8013
,431.154,6084
,433.712,4762
,436.265,3881
,438.814,3242
,441.359,2798
,443.9,2421
,446.436,2252
,448.967,2119
,451.495,2037
,454.018,1961
,456.536,1864
,459.05,1880
,461.559,1860
,464.064,1871
,466.564,1829
,469.06,1915
,471.551,1916
,474.037,1906
,476.518,1953
,478.995,1966
,481.467,1972
,483.934,2008
,486.396,1938
,488.853,2045
,491.305,2032
,493.753,2011
,496.195,1981
,498.632,1949
,501.065,1985
,503.492,1957
,505.914,1901
,508.332,1919
,510.743,1917
,513.15,1931
,515.552,1960
,517.948,1866
,520.339,1842
,522.725,1698
,525.106,1700
,527.481,1638
,529.851,1627
,532.216,1619
,534.575,1670
,536.929,1592
,539.277,1592
,541.62,1558
,543.957,1519
,546.289,1445
,548.616,1443
,550.936,1453
,553.252,1423
,555.561,1356
,557.865,1294
,560.164,1224
,562.457,1174
,564.744,1162
,567.025,1141
,569.301,1124
,571.571,1059
,573.835,1008
,576.093,981
,578.346,934
,580.593,967
,582.834,881
,585.069,864
,587.299,791
,589.522,803
,591.74,749
,593.952,718
,596.158,693
,598.358,638
,600.551,636
,602.739,597
,604.922,569
,607.098,570
,609.268,526
,611.432,557
,613.59,509
,615.742,525
,617.887,480
,620.027,469
,622.161,466
,624.289,447
,626.41,414
,628.526,402
,630.635,392
,632.738,365
,634.835,347
,636.926,344
,639.011,305
,641.089,372
,643.162,309
,645.228,298
,647.288,294
,649.341,315
,651.389,287
,653.43,277
,655.465,226
,657.494,206
,659.516,236
,661.532,175
,663.542,198
,665.546,195
,667.543,196
,669.535,171
,671.519,169
,673.498,159
,675.47,170
,677.436,170
,679.396,172
,681.349,147
,683.296,134
,685.236,174
,687.171,119
,689.099,164
,691.02,124
,692.935,113
,694.844,102
,696.747,133
,698.643,86
,700.533,73
,702.416,70
,704.293,112
,706.164,52
,708.029,48
,709.887,53
,711.738,75
,713.584,54
,715.423,88
,717.255,80
,719.082,61
,720.901,64
,722.715,72
,724.522,76
,726.323,54
,728.117,48
,729.905,52
,731.687,40
,733.462,32
,735.232,35
,736.994,12
,738.751,62
,740.501,31
,742.244,32
,743.982,71
,745.713,13
,747.437,17
,749.156,15
,750.868,41
,752.573,18
,754.273,-8
,755.966,-1
,757.653,4
,759.333,-5
,761.008,27
,762.676,54
,764.337,13
,765.993,36
,767.642,-7
,769.285,-2
,770.922,-9
,772.552,-7
,774.176,-6
,775.795,-5
,777.406,-53
,779.012,-10
,780.611,30
,782.205,-15
,783.792,10
,785.373,11
,786.947,-8
,788.516,13
,790.078,26
,791.635,-15
,793.185,-6
,794.729,-24
,796.267,-6
,797.799,-7
,799.325,15
,800.844,4
,802.358,1
,803.866,48
,805.368,2
,806.863,-25
,808.353,32
,809.836,-9
,811.314,36
,812.786,2
,814.252,6
,815.711,-31
,817.165,5
,818.613,-2
,820.055,18
,821.491,-14
,822.922,-3
,824.346,16
,825.765,-40
,827.178,16
,828.585,-24
,829.986,11
,831.381,11
,832.771,32
,834.155,1
,835.533,22
,836.906,-17
,838.272,12
,839.633,13
,840.989,12
,842.339,-12
,843.683,-7
,845.021,22
,846.354,-32
,847.682,17
,849.004,19
,850.32,-5
,851.631,-15
,852.936,29
,854.236,1
,855.53,-22
,856.819,23
,858.102,10
,859.38,17
,860.653,22
,861.92,7
,863.182,-6
,864.439,24
,865.69,-9
,866.936,28
,868.177,14
,869.412,-17
,870.642,-9
,871.867,8
,873.087,33
,874.302,19
,875.512,-53
,876.716,-12
,877.916,-16
,879.11,24
,880.299,19
,881.483,-5
,882.663,-8
,883.837,13
,885.006,-16
,886.17,7
,887.33,-3
,888.484,-11
