,Wavelength[nm],Average
,320.469,7
,323.166,54
,325.861,58
,328.553,44
,331.243,47
,333.93,-1
,336.615,42
,339.297,34
,341.976,52
,344.653,48
,347.327,42
,349.998,37
,352.666,49
,355.331,66
,357.994,41
,360.653,41
,363.309,52
,365.962,70
,368.612,62
,371.259,86
,373.903,60
,376.543,78
,379.18,117
,381.813,181
,384.443,328
,387.07,1080
,389.693,3108
,392.313,7938
,394.929,15411
,397.541,23223
,400.15,29720
,402.755,34046
,405.356,35715
,407.954,36020
,410.547,34370
,413.137,30748
,415.723,26909
,418.305,23287
,420.883,19249
,423.457,15084
,426.027,11474
,428.593,9071
,431.154,7099
,433.712,5999
,436.265,5031
,438.814,4350
,441.359,3994
,443.9,3633
,446.436,3372
,448.967,3247
,451.495,3187
,454.018,3139
,456.536,3086
,459.05,3088
,461.559,3057
,464.064,3012
,466.564,3120
,469.06,3156
,471.551,3247
,474.037,3326
,476.518,3318
,478.995,3362
,481.467,3325
,483.934,3352
,486.396,3464
,488.853,3538
,491.305,3607
,493.753,3623
,496.195,3557
,498.632,3590
,501.065,3600
,503.492,3630
,505.914,3632
,508.332,3592
,510.743,3635
,513.15,3611
,515.552,3626
,517.948,3574
,520.339,3438
,522.725,3423
,525.106,3321
,527.481,3303
,529.851,3243
,532.216,3246
,534.575,3284
,536.929,3247
,539.277,3207
,541.62,3188
,543.957,3119
,546.289,3037
,548.616,2873
,550.936,2859
,553.252,2888
,555.561,2806
,557.865,2654
,560.164,2568
,562.457,2432
,564.744,2310
,567.025,2304
,569.301,2218
,571.571,2192
,573.835,2054
,576.093,1909
,578.346,1829
,580.593,1797
,582.834,1761
,585.069,1644
,587.299,1616
,589.522,1557
,591.74,1479
,593.952,1402
,596.158,1284
,598.358,1271
,600.551,1242
,602.739,1172
,604.922,1179
,607.098,1131
,609.268,1056
,611.432,991
,613.59,989
,615.742,965
,617.887,911
,620.027,867
,622.161,874
,624.289,834
,626.41,801
,628.526,758
,630.635,744
,632.738,710
,634.835,675
,636.926,641
,639.011,639
,641.089,603
,643.162,519
,645.228,524
,647.288,557
,649.341,537
,651.389,495
,653.43,496
,655.465,446
,657.494,405
,659.516,398
,661.532,416
,663.542,358
,665.546,395
,667.543,415
,669.535,382
,671.519,337
,673.498,355
,675.47,377
,677.436,314
,679.396,315
,681.349,334
,683.296,285
,685.236,268
,687.171,294
,689.099,321
,691.02,266
,692.935,234
,694.844,232
,696.747,218
,698.643,213
,700.533,215
,702.416,172
,704.293,177
,706.164,169
,708.029,145
,709.887,165
,711.738,119
,713.584,140
,715.423,114
,717.255,166
,719.082,157
,720.901,109
,722.715,135
,724.522,115
,726.323,113
,728.117,119
,729.905,84
,731.687,86
,733.462,88
,735.232,66
,736.994,91
,738.751,77
,740.501,44
,742.244,89
,743.982,77
,745.713,96
,747.437,65
,749.156,40
,750.868,52
,752.573,92
,754.273,56
,755.966,22
,757.653,65
,759.333,61
,761.008,47
,762.676,19
,764.337,25
,765.993,27
,767.642,56
,769.285,46
,770.922,54
,772.552,58
,774.176,59
,775.795,40
,777.406,50
,779.012,13
,780.611,31
,782.205,39
,783.792,44
,785.373,67
,786.947,49
,788.516,26
,790.078,1
,791.635,24
,793.185,29
,794.729,29
,796.267,42
,797.799,8
,799.325,41
,800.844,31
,802.358,56
,803.866,43
,805.368,25
,806.863,49
,808.353,8
,809.836,34
,811.314,21
,812.786,39
,814.252,35
,815.711,50
,817.165,17
,818.613,21
,820.055,60
,821.491,21
,822.922,51
,824.346,3
,825.765,11
,827.178,39
,828.585,12
,829.986,27
,831.381,19
,832.771,20
,834.155,5
,835.533,0
,836.906,29
,838.272,30
,839.633,13
,840.989,27
,842.339,37
,843.683,45
,845.021,45
,846.354,29
,847.682,37
,849.004,9
,850.32,30
,851.631,-8
,852.936,27
,854.236,27
,855.53,5
,856.819,16
,858.102,56
,859.38,24
,860.653,18
,861.92,12
,863.182,-4
,864.439,7
,865.69,3
,866.936,35
,868.177,15
,869.412,20
,870.642,21
,871.867,-8
,873.087,-1
,874.302,3
,875.512,30
,876.716,37
,877.916,31
,879.11,22
,880.299,20
,881.483,17
,882.663,25
,883.837,23
,885.006,-5
,886.17,-19
,887.33,15
,888.484,60
