,Wavelength[nm],Average
,320.469,4
,323.166,33
,325.861,0
,328.553,58
,331.243,13
,333.93,49
,336.615,25
,339.297,30
,341.976,25
,344.653,23
,347.327,15
,349.998,9
,352.666,36
,355.331,31
,357.994,25
,360.653,23
,363.309,51
,365.962,29
,368.612,48
,371.259,45
,373.903,41
,376.543,60
,379.18,147
,381.813,199
,384.443,329
,387.07,1017
,389.693,2938
,392.313,7661
,394.929,14854
,397.541,22419
,400.15,28555
,402.755,32487
,405.356,33843
,407.954,33718
,410.547,32156
,413.137,28669
,415.723,24756
,418.305,21422
,420.883,17437
,423.457,13545
,426.027,10167
,428.593,7895
,431.154,6154
,433.712,5059
,436.265,4219
,438.814,3494
,441.359,3207
,443.9,2837
,446.436,2644
,448.967,2523
,451.495,2460
,454.018,2455
,456.536,2374
,459.05,2327
,461.559,2314
,464.064,2312
,466.564,2370
,469.06,2433
,471.551,2504
,474.037,2548
,476.518,2522
,478.995,2510
,481.467,2518
,483.934,2613
,486.396,2645
,488.853,2707
,491.305,2756
,493.753,2743
,496.195,2706
,498.632,2783
,501.065,2703
,503.492,2747
,505.914,2763
,508.332,2771
,510.743,2774
,513.15,2782
,515.552,2874
,517.948,2835
,520.339,2754
,522.725,2647
,525.106,2596
,527.481,2524
,529.851,2501
,532.216,2539
,534.575,2534
,536.929,2523
,539.277,2512
,541.62,2463
,543.957,2454
,546.289,2375
,548.616,2254
,550.936,2187
,553.252,2174
,555.561,2107
,557.865,1987
,560.164,1959
,562.457,1884
,564.744,1826
,567.025,1760
,569.301,1677
,571.571,1615
,573.835,1532
,576.093,1455
,578.346,1449
,580.593,1408
,582.834,1404
,585.069,1336
,587.299,1239
,589.522,1198
,591.74,1121
,593.952,1084
,596.158,1033
,598.358,967
,600.551,931
,602.739,901
,604.922,865
,607.098,847
,609.268,790
,611.432,809
,613.59,745
,615.742,713
,617.887,703
,620.027,682
,622.161,665
,624.289,648
,626.41,603
,628.526,569
,630.635,562
,632.738,538
,634.835,485
,636.926,501
,639.011,487
,641.089,440
,643.162,427
,645.228,444
,647.288,402
,649.341,371
,651.389,345
,653.43,374
,655.465,314
,657.494,306
,659.516,284
,661.532,303
,663.542,283
,665.546,277
,667.543,304
,669.535,291
,671.519,275
,673.498,236
,675.47,252
,677.436,242
,679.396,223
,681.349,233
,683.296,269
,685.236,238
,687.171,216
,689.099,211
,691.02,176
,692.935,196
,694.844,161
,696.747,144
,698.643,128
,700.533,128
,702.416,104
,704.293,107
,706.164,122
,708.029,96
,709.887,109
,711.738,99
,713.584,85
,715.423,96
,717.255,100
,719.082,54
,720.901,85
,722.715,78
,724.522,85
,726.323,70
,728.117,63
,729.905,48
,731.687,54
,733.462,49
,735.232,55
,736.994,74
,738.751,54
,740.501,97
,742.244,75
,743.982,25
,745.713,24
,747.437,56
,749.156,21
,750.868,43
,752.573,31
,754.273,-16
,755.966,19
,757.653,47
,759.333,16
,761.008,41
,762.676,56
,764.337,23
,765.993,37
,767.642,5
,769.285,-1
,770.922,31
,772.552,4
,774.176,49
,775.795,-24
,777.406,14
,779.012,-9
,780.611,10
,782.205,9
,783.792,-4
,785.373,15
,786.947,30
,788.516,1
,790.078,22
,791.635,38
,793.185,24
,794.729,-11
,796.267,12
,797.799,5
,799.325,9
,800.844,10
,802.358,31
,803.866,18
,805.368,13
,806.863,6
,808.353,0
,809.836,-1
,811.314,38
,812.786,15
,814.252,39
,815.711,16
,817.165,4
,818.613,8
,820.055,20
,821.491,1
,822.922,27
,824.346,19
,825.765,-4
,827.178,5
,828.585,2
,829.986,32
,831.381,14
,832.771,8
,834.155,36
,835.533,27
,836.906,20
,838.272,5
,839.633,11
,840.989,12
,842.339,14
,843.683,0
,845.021,-7
,846.354,5
,847.682,23
,849.004,3
,850.32,12
,851.631,-17
,852.936,-2
,854.236,8
,855.53,40
,856.819,17
,858.102,13
,859.38,7
,860.653,3
,861.92,9
,863.182,16
,864.439,26
,865.69,10
,866.936,20
,868.177,-5
,869.412,-9
,870.642,28
,871.867,43
,873.087,-19
,874.302,-11
,875.512,15
,876.716,5
,877.916,20
,879.11,22
,880.299,6
,881.483,-19
,882.663,32
,883.837,13
,885.006,-22
,886.17,18
,887.33,-5
,888.484,47
