,Wavelength[nm],Average
,320.469,-3
,323.166,28
,325.861,20
,328.553,31
,331.243,11
,333.93,29
,336.615,26
,339.297,37
,341.976,35
,344.653,33
,347.327,21
,349.998,47
,352.666,28
,355.331,43
,357.994,33
,360.653,70
,363.309,23
,365.962,57
,368.612,63
,371.259,66
,373.903,64
,376.543,84
,379.18,105
,381.813,159
,384.443,441
,387.07,1191
,389.693,3463
,392.313,8875
,394.929,17269
,397.541,25690
,400.15,32954
,402.755,37627
,405.356,38889
,407.954,38409
,410.547,36596
,413.137,32433
,415.723,28105
,418.305,24028
,420.883,19530
,423.457,14926
,426.027,10929
,428.593,8405
,431.154,6465
,433.712,5151
,436.265,4064
,438.814,3390
,441.359,2879
,443.9,2540
,446.436,2318
,448.967,2170
,451.495,2091
,454.018,1992
,456.536,2023
,459.05,1933
,461.559,1949
,464.064,1951
,466.564,1862
,469.06,1969
,471.551,2000
,474.037,2013
,476.518,2077
,478.995,2008
,481.467,1957
,483.934,2048
,486.396,2051
,488.853,2098
,491.305,2075
,493.753,2093
,496.195,2018
,498.632,1978
,501.065,1996
,503.492,1986
,505.914,1954
,508.332,1883
,510.743,1982
,513.15,1910
,515.552,1871
,517.948,1827
,520.339,1794
,522.725,1753
,525.106,1730
,527.481,1648
,529.851,1656
,532.216,1630
,534.575,1572
,536.929,1617
,539.277,1637
,541.62,1506
,543.957,1495
,546.289,1505
,548.616,1484
,550.936,1467
,553.252,1422
,555.561,1384
,557.865,1346
,560.164,1246
,562.457,1191
,564.744,1169
,567.025,1129
,569.301,1142
,571.571,1101
,573.835,1013
,576.093,997
,578.346,993
,580.593,923
,582.834,940
,585.069,857
,587.299,797
,589.522,780
,591.74,729
,593.952,692
,596.158,708
,598.358,698
,600.551,636
,602.739,620
,604.922,637
,607.098,618
,609.268,598
,611.432,572
,613.59,559
,615.742,532
,617.887,468
,620.027,468
,622.161,484
,624.289,468
,626.41,447
,628.526,392
,630.635,433
,632.738,395
,634.835,359
,636.926,326
,639.011,355
,641.089,339
,643.162,342
,645.228,346
,647.288,294
,649.341,308
,651.389,279
,653.43,250
,655.465,264
,657.494,246
,659.516,276
,661.532,234
,663.542,245
,665.546,197
,667.543,253
,669.535,251
,671.519,212
,673.498,215
,675.47,196
,677.436,182
,679.396,195
,681.349,191
,683.296,158
,685.236,184
,687.171,198
,689.099,177
,691.02,145
,692.935,160
,694.844,185
,696.747,144
,698.643,108
,700.533,135
,702.416,91
,704.293,107
,706.164,83
,708.029,109
,709.887,89
,711.738,77
,713.584,81
,715.423,80
,717.255,50
,719.082,97
,720.901,84
,722.715,38
,724.522,45
,726.323,65
,728.117,84
,729.905,45
,731.687,46
,733.462,70
,735.232,56
,736.994,59
,738.751,54
,740.501,41
,742.244,29
,743.982,28
,745.713,34
,747.437,61
,749.156,22
,750.868,55
,752.573,22
,754.273,22
,755.966,24
,757.653,47
,759.333,53
,761.008,34
,762.676,7
,764.337,13
,765.993,34
,767.642,43
,769.285,21
,770.922,51
,772.552,68
,774.176,60
,775.795,18
,777.406,31
,779.012,24
,780.611,26
,782.205,-6
,783.792,25
,785.373,-29
,786.947,37
,788.516,9
,790.078,4
,791.635,28
,793.185,-3
,794.729,31
,796.267,43
,797.799,23
,799.325,13
,800.844,15
,802.358,37
,803.866,26
,805.368,46
,806.863,16
,808.353,-13
,809.836,17
,811.314,2
,812.786,26
,814.252,31
,815.711,9
,817.165,47
,818.613,29
,820.055,-4
,821.491,11
,822.922,8
,824.346,12
,825.765,4
,827.178,40
,828.585,26
,829.986,16
,831.381,18
,832.771,51
,834.155,10
,835.533,-7
,836.906,-14
,838.272,1
,839.633,2
,840.989,4
,842.339,26
,843.683,-3
,845.021,-12
,846.354,18
,847.682,26
,849.004,24
,850.32,11
,851.631,3
,852.936,-7
,854.236,0
,855.53,64
,856.819,36
,858.102,3
,859.38,22
,860.653,29
,861.92,-2
,863.182,-14
,864.439,1
,865.69,23
,866.936,-7
,868.177,14
,869.412,12
,870.642,33
,871.867,5
,873.087,14
,874.302,4
,875.512,-7
,876.716,-8
,877.916,-14
,879.11,21
,880.299,17
,881.483,46
,882.663,26
,883.837,13
,885.006,12
,886.17,31
,887.33,38
,888.484,29
