,Wavelength[nm],Average
,320.469,16
,323.166,31
,325.861,-6
,328.553,2
,331.243,10
,333.93,-15
,336.615,-3
,339.297,-23
,341.976,-42
,344.653,-1
,347.327,-4
,349.998,9
,352.666,28
,355.331,17
,357.994,-14
,360.653,43
,363.309,0
,365.962,15
,368.612,23
,371.259,-2
,373.903,23
,376.543,38
,379.18,90
,381.813,143
,384.443,327
,387.07,1001
,389.693,2960
,392.313,7507
,394.929,14807
,397.541,22383
,400.15,28891
,402.755,33158
,405.356,34689
,407.954,35087
,410.547,33538
,413.137,30036
,415.723,26302
,418.305,22660
,420.883,18749
,423.457,14678
,426.027,11130
,428.593,8830
,431.154,6975
,433.712,5725
,436.265,4860
,438.814,4234
,441.359,3765
,443.9,3438
,446.436,3245
,448.967,3080
,451.495,3001
,454.018,2998
,456.536,2926
,459.05,2950
,461.559,2888
,464.064,2956
,466.564,2942
,469.06,3044
,471.551,3065
,474.037,3205
,476.518,3185
,478.995,3141
,481.467,3195
,483.934,3241
,486.396,3366
,488.853,3388
,491.305,3531
,493.753,3509
,496.195,3475
,498.632,3503
,501.065,3503
,503.492,3504
,505.914,3501
,508.332,3577
,510.743,3498
,513.15,3551
,515.552,3659
,517.948,3598
,520.339,3529
,522.725,3422
,525.106,3330
,527.481,3273
,529.851,3318
,532.216,3320
,534.575,3330
,536.929,3351
,539.277,3240
,541.62,3314
,543.957,3195
,546.289,3139
,548.616,2951
,550.936,2999
,553.252,2895
,555.561,2762
,557.865,2667
,560.164,2545
,562.457,2456
,564.744,2422
,567.025,2315
,569.301,2260
,571.571,2188
,573.835,1985
,576.093,1996
,578.346,1891
,580.593,1841
,582.834,1796
,585.069,1711
,587.299,1623
,589.522,1571
,591.74,1492
,593.952,1420
,596.158,1295
,598.358,1249
,600.551,1185
,602.739,1185
,604.922,1137
,607.098,1070
,609.268,992
,611.432,989
,613.59,901
,615.742,871
,617.887,896
,620.027,878
,622.161,849
,624.289,768
,626.41,800
,628.526,727
,630.635,691
,632.738,635
,634.835,588
,636.926,562
,639.011,561
,641.089,567
,643.162,545
,645.228,556
,647.288,513
,649.341,459
,651.389,405
,653.43,426
,655.465,363
,657.494,364
,659.516,376
,661.532,328
,663.542,330
,665.546,303
,667.543,324
,669.535,280
,671.519,334
,673.498,324
,675.47,321
,677.436,220
,679.396,264
,681.349,225
,683.296,283
,685.236,257
,687.171,262
,689.099,255
,691.02,203
,692.935,184
,694.844,187
,696.747,175
,698.643,162
,700.533,148
,702.416,147
,704.293,108
,706.164,110
,708.029,114
,709.887,114
,711.738,92
,713.584,60
,715.423,72
,717.255,54
,719.082,61
,720.901,100
,722.715,76
,724.522,52
,726.323,67
,728.117,8
,729.905,75
,731.687,47
,733.462,34
,735.232,16
,736.994,46
,738.751,33
,740.501,33
,742.244,-7
,743.982,51
,745.713,40
,747.437,41
,749.156,47
,750.868,-12
,752.573,30
,754.273,26
,755.966,-6
,757.653,-4
,759.333,15
,761.008,7
,762.676,5
,764.337,1
,765.993,8
,767.642,7
,769.285,-21
,770.922,-11
,772.552,-37
,774.176,-19
,775.795,-3
,777.406,19
,779.012,-6
,780.611,-24
,782.205,20
,783.792,-15
,785.373,-6
,786.947,-1
,788.516,9
,790.078,-29
,791.635,-10
,793.185,-7
,794.729,-44
,796.267,-33
,797.799,-10
,799.325,-17
,800.844,-54
,802.358,-59
,803.866,-5
,805.368,-16
,806.863,-18
,808.353,-27
,809.836,7
,811.314,-20
,812.786,-26
,814.252,-4
,815.711,-26
,817.165,-13
,818.613,-13
,820.055,-29
,821.491,-5
,822.922,-4
,824.346,-24
,825.765,-23
,827.178,-38
,828.585,-23
,829.986,-24
,831.381,-12
,832.771,-10
,834.155,-4
,835.533,-5
,836.906,13
,838.272,2
,839.633,-23
,840.989,-25
,842.339,-30
,843.683,-14
,845.021,-19
,846.354,-9
,847.682,7
,849.004,-53
,850.32,-16
,851.631,5
,852.936,-26
,854.236,-23
,855.53,-35
,856.819,-11
,858.102,-17
,859.38,9
,860.653,13
,861.92,-18
,863.182,3
,864.439,-1
,865.69,-8
,866.936,-22
,868.177,-53
,869.412,-17
,870.642,-28
,871.867,-24
,873.087,-46
,874.302,-41
,875.512,-6
,876.716,-28
,877.916,-7
,879.11,-22
,880.299,-30
,881.483,-60
,882.663,-26
,883.837,-29
,885.006,-22
,886.17,-83
,887.33,-19
,888.484,-49
