,Wavelength[nm],Average
,320.469,3
,323.166,32
,325.861,33
,328.553,45
,331.243,2
,333.93,-8
,336.615,42
,339.297,-3
,341.976,-11
,344.653,36
,347.327,32
,349.998,-3
,352.666,8
,355.331,24
,357.994,46
,360.653,18
,363.309,24
,365.962,36
,368.612,33
,371.259,42
,373.903,53
,376.543,71
,379.18,57
,381.813,177
,384.443,344
,387.07,1003
,389.693,3075
,392.313,7963
,394.929,15480
,397.541,23544
,400.15,29975
,402.755,34626
,405.356,36158
,407.954,36178
,410.547,34704
,413.137,30882
,415.723,27100
,418.305,23335
,420.883,19296
,423.457,15167
,426.027,11485
,428.593,9097
,431.154,7125
,433.712,5899
,436.265,4944
,438.814,4282
,441.359,3757
,443.9,3530
,446.436,3305
,448.967,3204
,451.495,3121
,454.018,3087
,456.536,3035
,459.05,3000
,461.559,2970
,464.064,2998
,466.564,3044
,469.06,3095
,471.551,3200
,474.037,3296
,476.518,3293
,478.995,3305
,481.467,3256
,483.934,3318
,486.396,3423
,488.853,3510
,491.305,3542
,493.753,3540
,496.195,3492
,498.632,3560
,501.065,3566
,503.492,3536
,505.914,3478
,508.332,3508
,510.743,3556
,513.15,3588
,515.552,3605
,517.948,3553
,520.339,3480
,522.725,3411
,525.106,3230
,527.481,3208
,529.851,3202
,532.216,3288
,534.575,3182
,536.929,3197
,539.277,3243
,541.62,3209
,543.957,3039
,546.289,2966
,548.616,2905
,550.936,2937
,553.252,2823
,555.561,2738
,557.865,2574
,560.164,2479
,562.457,2373
,564.744,2263
,567.025,2243
,569.301,2139
,571.571,2099
,573.835,1984
,576.093,1859
,578.346,1827
,580.593,1824
,582.834,1740
,585.069,1657
,587.299,1549
,589.522,1501
,591.74,1406
,593.952,1381
,596.158,1312
,598.358,1192
,600.551,1162
,602.739,1132
,604.922,1095
,607.098,1036
,609.268,1000
,611.432,937
,613.59,926
,615.742,879
,617.887,854
,620.027,839
,622.161,810
,624.289,750
,626.41,735
,628.526,714
,630.635,692
,632.738,637
,634.835,614
,636.926,576
,639.011,584
,641.089,569
,643.162,526
,645.228,530
,647.288,519
,649.341,508
,651.389,385
,653.43,412
,655.465,371
,657.494,383
,659.516,344
,661.532,342
,663.542,309
,665.546,350
,667.543,345
,669.535,302
,671.519,293
,673.498,297
,675.47,274
,677.436,342
,679.396,342
,681.349,273
,683.296,274
,685.236,292
,687.171,248
,689.099,222
,691.02,230
,692.935,241
,694.844,191
,696.747,174
,698.643,133
,700.533,180
,702.416,147
,704.293,132
,706.164,113
,708.029,126
,709.887,118
,711.738,103
,713.584,96
,715.423,93
,717.255,97
,719.082,102
,720.901,84
,722.715,67
,724.522,81
,726.323,78
,728.117,55
,729.905,66
,731.687,49
,733.462,52
,735.232,60
,736.994,45
,738.751,38
,740.501,40
,742.244,35
,743.982,12
,745.713,19
,747.437,39
,749.156,41
,750.868,34
,752.573,39
,754.273,2
,755.966,34
,757.653,13
,759.333,-10
,761.008,-3
,762.676,36
,764.337,18
,765.993,49
,767.642,-18
,769.285,8
,770.922,-5
,772.552,-26
,774.176,3
,775.795,18
,777.406,19
,779.012,-15
,780.611,18
,782.205,17
,783.792,15
,785.373,-2
,786.947,5
,788.516,8
,790.078,11
,791.635,3
,793.185,-4
,794.729,-10
,796.267,18
,797.799,-1
,799.325,-11
,800.844,-54
,802.358,-7
,803.866,-13
,805.368,-31
,806.863,6
,808.353,-20
,809.836,15
,811.314,-28
,812.786,-36
,814.252,2
,815.711,-3
,817.165,-51
,818.613,10
,820.055,-5
,821.491,-11
,822.922,18
,824.346,-23
,825.765,-29
,827.178,-9
,828.585,-31
,829.986,-7
,831.381,-21
,832.771,-30
,834.155,-17
,835.533,-7
,836.906,9
,838.272,20
,839.633,-27
,840.989,-25
,842.339,-1
,843.683,-28
,845.021,-26
,846.354,-23
,847.682,-34
,849.004,-17
,850.32,1
,851.631,-3
,852.936,-6
,854.236,-37
,855.53,-16
,856.819,-12
,858.102,-7
,859.38,-38
,860.653,-6
,861.92,-3
,863.182,-33
,864.439,-13
,865.69,-21
,866.936,-10
,868.177,-29
,869.412,-25
,870.642,-10
,871.867,-14
,873.087,-19
,874.302,-24
,875.512,-19
,876.716,-17
,877.916,-24
,879.11,-16
,880.299,-16
,881.483,-12
,882.663,-9
,883.837,-1
,885.006,-20
,886.17,-19
,887.33,-37
,888.484,-9
