,Wavelength[nm],Average
,320.469,16
,323.166,23
,325.861,32
,328.553,23
,331.243,8
,333.93,56
,336.615,56
,339.297,34
,341.976,20
,344.653,58
,347.327,12
,349.998,41
,352.666,46
,355.331,44
,357.994,33
,360.653,52
,363.309,46
,365.962,48
,368.612,42
,371.259,44
,373.903,88
,376.543,79
,379.18,85
,381.813,176
,384.443,357
,387.07,1117
,389.693,3313
,392.313,8440
,394.929,16459
,397.541,24897
,400.15,31848
,402.755,36192
,405.356,38062
,407.954,37862
,410.547,36132
,413.137,32239
,415.723,27959
,418.305,23810
,420.883,19792
,423.457,15197
,426.027,11456
,428.593,8933
,431.154,6991
,433.712,5742
,436.265,4759
,438.814,3973
,441.359,3513
,443.9,3180
,446.436,2921
,448.967,2765
,451.495,2742
,454.018,2710
,456.536,2650
,459.05,2594
,461.559,2602
,464.064,2598
,466.564,2567
,469.06,2668
,471.551,2765
,474.037,2699
,476.518,2767
,478.995,2715
,481.467,2748
,483.934,2804
,486.396,2917
,488.853,2915
,491.305,2875
,493.753,2889
,496.195,2825
,498.632,2793
,501.065,2801
,503.492,2775
,505.914,2730
,508.332,2729
,510.743,2658
,513.15,2620
,515.552,2656
,517.948,2605
,520.339,2507
,522.725,2426
,525.106,2318
,527.481,2291
,529.851,2252
,532.216,2312
,534.575,2279
,536.929,2252
,539.277,2219
,541.62,2197
,543.957,2147
,546.289,2116
,548.616,2038
,550.936,1967
,553.252,1937
,555.561,1873
,557.865,1781
,560.164,1731
,562.457,1665
,564.744,1597
,567.025,1524
,569.301,1504
,571.571,1448
,573.835,1401
,576.093,1307
,578.346,1255
,580.593,1223
,582.834,1226
,585.069,1172
,587.299,1134
,589.522,1064
,591.74,1004
,593.952,986
,596.158,919
,598.358,873
,600.551,827
,602.739,795
,604.922,797
,607.098,746
,609.268,717
,611.432,713
,613.59,687
,615.742,659
,617.887,643
,620.027,613
,622.161,615
,624.289,573
,626.41,542
,628.526,528
,630.635,528
,632.738,495
,634.835,493
,636.926,482
,639.011,424
,641.089,430
,643.162,381
,645.228,363
,647.288,391
,649.341,333
,651.389,362
,653.43,325
,655.465,308
,657.494,267
,659.516,292
,661.532,290
,663.542,258
,665.546,273
,667.543,279
,669.535,205
,671.519,269
,673.498,290
,675.47,242
,677.436,204
,679.396,208
,681.349,246
,683.296,216
,685.236,180
,687.171,181
,689.099,205
,691.02,166
,692.935,172
,694.844,176
,696.747,171
,698.643,175
,700.533,104
,702.416,123
,704.293,100
,706.164,106
,708.029,84
,709.887,101
,711.738,82
,713.584,84
,715.423,67
,717.255,57
,719.082,49
,720.901,74
,722.715,70
,724.522,83
,726.323,74
,728.117,88
,729.905,46
,731.687,68
,733.462,60
,735.232,5
,736.994,58
,738.751,39
,740.501,11
,742.244,40
,743.982,45
,745.713,47
,747.437,50
,749.156,24
,750.868,4
,752.573,48
,754.273,48
,755.966,-4
,757.653,52
,759.333,19
,761.008,23
,762.676,45
,764.337,26
,765.993,28
,767.642,-1
,769.285,25
,770.922,-5
,772.552,45
,774.176,29
,775.795,10
,777.406,24
,779.012,16
,780.611,24
,782.205,16
,783.792,24
,785.373,40
,786.947,55
,788.516,23
,790.078,29
,791.635,6
,793.185,-4
,794.729,-4
,796.267,26
,797.799,15
,799.325,9
,800.844,-2
,802.358,22
,803.866,21
,805.368,1
,806.863,12
,808.353,5
,809.836,9
,811.314,47
,812.786,-7
,814.252,-6
,815.711,15
,817.165,30
,818.613,10
,820.055,-22
,821.491,9
,822.922,11
,824.346,13
,825.765,-1
,827.178,-31
,828.585,35
,829.986,32
,831.381,-36
,832.771,43
,834.155,-28
,835.533,2
,836.906,-2
,838.272,16
,839.633,36
,840.989,-2
,842.339,28
,843.683,23
,845.021,-30
,846.354,-27
,847.682,34
,849.004,42
,850.32,30
,851.631,44
,852.936,8
,854.236,21
,855.53,9
,856.819,-10
,858.102,-5
,859.38,-11
,860.653,17
,861.92,3
,863.182,24
,864.439,6
,865.69,22
,866.936,8
,868.177,17
,869.412,33
,870.642,-7
,871.867,5
,873.087,-10
,874.302,19
,875.512,15
,876.716,30
,877.916,-13
,879.11,31
,880.299,5
,881.483,3
,882.663,21
,883.837,18
,885.006,28
,886.17,5
,887.33,16
,888.484,-7
