,Wavelength[nm],Average
,320.469,-7
,323.166,2
,325.861,21
,328.553,31
,331.243,44
,333.93,41
,336.615,54
,339.297,48
,341.976,30
,344.653,35
,347.327,24
,349.998,4
,352.666,13
,355.331,9
,357.994,39
,360.653,14
,363.309,12
,365.962,50
,368.612,28
,371.259,39
,373.903,63
,376.543,61
,379.18,67
,381.813,176
,384.443,411
,387.07,1150
,389.693,3466
,392.313,8890
,394.929,17028
,397.541,25551
,400.15,32720
,402.755,37109
,405.356,38441
,407.954,37889
,410.547,36141
,413.137,31997
,415.723,27787
,418.305,23690
,420.883,19153
,423.457,14729
,426.027,10890
,428.593,8424
,431.154,6472
,433.712,5113
,436.265,4099
,438.814,3346
,441.359,2870
,443.9,2538
,446.436,2291
,448.967,2176
,451.495,2114
,454.018,2022
,456.536,1965
,459.05,1880
,461.559,1937
,464.064,1885
,466.564,1878
,469.06,1955
,471.551,2020
,474.037,1966
,476.518,2023
,478.995,2073
,481.467,1992
,483.934,2041
,486.396,2119
,488.853,2062
,491.305,2130
,493.753,2088
,496.195,2048
,498.632,2018
,501.065,1991
,503.492,2028
,505.914,1955
,508.332,1946
,510.743,1912
,513.15,1961
,515.552,1991
,517.948,1871
,520.339,1877
,522.725,1837
,525.106,1727
,527.481,1693
,529.851,1661
,532.216,1692
,534.575,1662
,536.929,1616
,539.277,1632
,541.62,1638
,543.957,1634
,546.289,1516
,548.616,1424
,550.936,1459
,553.252,1447
,555.561,1420
,557.865,1355
,560.164,1241
,562.457,1223
,564.744,1145
,567.025,1169
,569.301,1137
,571.571,1080
,573.835,1038
,576.093,1012
,578.346,925
,580.593,985
,582.834,929
,585.069,902
,587.299,836
,589.522,815
,591.74,785
,593.952,732
,596.158,729
,598.358,681
,600.551,637
,602.739,632
,604.922,655
,607.098,591
,609.268,562
,611.432,541
,613.59,520
,615.742,496
,617.887,478
,620.027,457
,622.161,446
,624.289,432
,626.41,449
,628.526,437
,630.635,394
,632.738,400
,634.835,367
,636.926,318
,639.011,342
,641.089,353
,643.162,322
,645.228,306
,647.288,289
,649.341,252
,651.389,268
,653.43,245
,655.465,215
,657.494,207
,659.516,216
,661.532,218
,663.542,224
,665.546,181
,667.543,187
,669.535,207
,671.519,180
,673.498,177
,675.47,170
,677.436,165
,679.396,170
,681.349,179
,683.296,147
,685.236,168
,687.171,154
,689.099,153
,691.02,161
,692.935,149
,694.844,94
,696.747,128
,698.643,100
,700.533,110
,702.416,81
,704.293,95
,706.164,50
,708.029,58
,709.887,95
,711.738,67
,713.584,77
,715.423,62
,717.255,66
,719.082,77
,720.901,26
,722.715,61
,724.522,56
,726.323,43
,728.117,25
,729.905,29
,731.687,31
,733.462,33
,735.232,20
,736.994,25
,738.751,30
,740.501,22
,742.244,9
,743.982,36
,745.713,43
,747.437,34
,749.156,44
,750.868,-22
,752.573,19
,754.273,13
,755.966,18
,757.653,40
,759.333,11
,761.008,26
,762.676,41
,764.337,14
,765.993,24
,767.642,5
,769.285,-11
,770.922,7
,772.552,9
,774.176,-18
,775.795,9
,777.406,-10
,779.012,7
,780.611,16
,782.205,-24
,783.792,34
,785.373,-20
,786.947,-19
,788.516,21
,790.078,-3
,791.635,-35
,793.185,15
,794.729,-23
,796.267,21
,797.799,14
,799.325,8
,800.844,-7
,802.358,-30
,803.866,-29
,805.368,-32
,806.863,13
,808.353,-26
,809.836,-28
,811.314,2
,812.786,-1
,814.252,-20
,815.711,-27
,817.165,-3
,818.613,12
,820.055,2
,821.491,27
,822.922,-18
,824.346,4
,825.765,-4
,827.178,-35
,828.585,6
,829.986,-9
,831.381,9
,832.771,-22
,834.155,-8
,835.533,-3
,836.906,-3
,838.272,-13
,839.633,-44
,840.989,-50
,842.339,-10
,843.683,-9
,845.021,-1
,846.354,0
,847.682,-14
,849.004,-24
,850.32,-9
,851.631,11
,852.936,5
,854.236,-12
,855.53,1
,856.819,-16
,858.102,-11
,859.38,13
,860.653,-4
,861.92,-22
,863.182,-14
,864.439,-14
,865.69,-17
,866.936,-1
,868.177,-30
,869.412,-7
,870.642,-4
,871.867,-6
,873.087,4
,874.302,-18
,875.512,-22
,876.716,34
,877.916,-15
,879.11,-9
,880.299,-7
,881.483,-31
,882.663,-9
,883.837,-12
,885.006,-9
,886.17,-13
,887.33,-33
,888.484,-29
