,Wavelength[nm],Average
,320.469,6
,323.166,9
,325.861,59
,328.553,54
,331.243,47
,333.93,27
,336.615,17
,339.297,27
,341.976,56
,344.653,86
,347.327,39
,349.998,48
,352.666,57
,355.331,50
,357.994,53
,360.653,56
,363.309,62
,365.962,98
,368.612,53
,371.259,71
,373.903,62
,376.543,76
,379.18,145
,381.813,201
,384.443,396
,387.07,1059
,389.693,3087
,392.313,7941
,394.929,15254
,397.541,22967
,400.15,29503
,402.755,33640
,405.356,35512
,407.954,35529
,410.547,33873
,413.137,30179
,415.723,26604
,418.305,22978
,420.883,18858
,423.457,15035
,426.027,11395
,428.593,9065
,431.154,7090
,433.712,5962
,436.265,5109
,438.814,4402
,441.359,3921
,443.9,3605
,446.436,3433
,448.967,3279
,451.495,3198
,454.018,3186
,456.536,3163
,459.05,3076
,461.559,3118
,464.064,3100
,466.564,3147
,469.06,3309
,471.551,3275
,474.037,3377
,476.518,3436
,478.995,3396
,481.467,3405
,483.934,3410
,486.396,3568
,488.853,3636
,491.305,3715
,493.753,3703
,496.195,3689
,498.632,3639
,501.065,3693
,503.492,3633
,505.914,3674
,508.332,3720
,510.743,3684
,513.15,3702
,515.552,3748
,517.948,3647
,520.339,3562
,522.725,3472
,525.106,3414
,527.481,3304
,529.851,3284
,532.216,3392
,534.575,3316
,536.929,3349
,539.277,3285
,541.62,3235
,543.957,3223
,546.289,3116
,548.616,2982
,550.936,2996
,553.252,2940
,555.561,2889
,557.865,2741
,560.164,2612
,562.457,2515
,564.744,2412
,567.025,2319
,569.301,2280
,571.571,2138
,573.835,2054
,576.093,1923
,578.346,1879
,580.593,1851
,582.834,1826
,585.069,1755
,587.299,1643
,589.522,1555
,591.74,1470
,593.952,1402
,596.158,1320
,598.358,1328
,600.551,1233
,602.739,1198
,604.922,1181
,607.098,1102
,609.268,1068
,611.432,1031
,613.59,978
,615.742,989
,617.887,915
,620.027,911
,622.161,836
,624.289,854
,626.41,801
,628.526,820
,630.635,754
,632.738,725
,634.835,665
,636.926,658
,639.011,642
,641.089,646
,643.162,573
,645.228,614
,647.288,568
,649.341,516
,651.389,525
,653.43,458
,655.465,480
,657.494,490
,659.516,457
,661.532,380
,663.542,393
,665.546,385
,667.543,385
,669.535,383
,671.519,365
,673.498,378
,675.47,371
,677.436,343
,679.396,365
,681.349,312
,683.296,310
,685.236,331
,687.171,306
,689.099,266
,691.02,295
,692.935,265
,694.844,256
,696.747,242
,698.643,220
,700.533,187
,702.416,193
,704.293,183
,706.164,155
,708.029,137
,709.887,162
,711.738,133
,713.584,161
,715.423,117
,717.255,158
,719.082,145
,720.901,126
,722.715,84
,724.522,137
,726.323,139
,728.117,102
,729.905,103
,731.687,97
,733.462,76
,735.232,106
,736.994,118
,738.751,97
,740.501,81
,742.244,47
,743.982,66
,745.713,93
,747.437,69
,749.156,54
,750.868,104
,752.573,78
,754.273,80
,755.966,78
,757.653,81
,759.333,83
,761.008,74
,762.676,95
,764.337,66
,765.993,88
,767.642,40
,769.285,28
,770.922,66
,772.552,69
,774.176,59
,775.795,72
,777.406,55
,779.012,59
,780.611,89
,782.205,52
,783.792,58
,785.373,54
,786.947,64
,788.516,46
,790.078,70
,791.635,68
,793.185,32
,794.729,20
,796.267,53
,797.799,51
,799.325,90
,800.844,63
,802.358,38
,803.866,57
,805.368,29
,806.863,19
,808.353,45
,809.836,55
,811.314,42
,812.786,43
,814.252,55
,815.711,29
,817.165,10
,818.613,19
,820.055,22
,821.491,39
,822.922,23
,824.346,36
,825.765,49
,827.178,15
,828.585,30
,829.986,49
,831.381,68
,832.771,44
,834.155,46
,835.533,24
,836.906,36
,838.272,46
,839.633,4
,840.989,24
,842.339,24
,843.683,31
,845.021,26
,846.354,54
,847.682,34
,849.004,25
,850.32,59
,851.631,12
,852.936,39
,854.236,64
,855.53,2
,856.819,74
,858.102,55
,859.38,62
,860.653,75
,861.92,47
,863.182,41
,864.439,70
,865.69,45
,866.936,43
,868.177,38
,869.412,21
,870.642,36
,871.867,43
,873.087,38
,874.302,35
,875.512,61
,876.716,43
,877.916,22
,879.11,15
,880.299,40
,881.483,54
,882.663,54
,883.837,6
,885.006,56
,886.17,34
,887.33,44
,888.484,60
